n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.035917525831541,0.05497627708917948,0.3099689778021063,0.10445024628243478
50,5,2,2,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.08419384774088645
50,5,2,5,squared_error,True,0.03628607907525479,0.05535426850420822,0.3052246441312174,0.10764656172414955
50,5,2,5,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.08903617262911298
50,5,2,10,squared_error,True,0.03686007775973382,0.055610533593070624,0.3020081502072198,0.1209441369708338
50,5,2,10,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.11034507145342162
50,5,4,2,squared_error,True,0.033638987069935386,0.056221382889431744,0.29434111659391815,0.1176943280197259
50,5,4,2,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.1115514704744602
50,5,4,5,squared_error,True,0.033638987069935386,0.056221382889431744,0.29434111659391815,0.1176943280197259
50,5,4,5,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.1115514704744602
50,5,4,10,squared_error,True,0.0338941855832125,0.05663860637695773,0.28910436421951646,0.12050260465999948
50,5,4,10,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.11281710694849012
50,5,6,2,squared_error,True,0.03482340507388306,0.05898270606969428,0.25968255552757913,0.12295155405436856
50,5,6,2,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11505115537219494
50,5,6,5,squared_error,True,0.03482340507388306,0.05898270606969428,0.25968255552757913,0.12295155405436856
50,5,6,5,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11505115537219494
50,5,6,10,squared_error,True,0.03482340507388306,0.05898270606969428,0.25968255552757913,0.12295155405436856
50,5,6,10,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11505115537219494
50,10,2,2,squared_error,True,0.02459997277143152,0.03299866353610882,0.5858195073113239,0.0891657577208089
50,10,2,2,squared_error,False,0.014750121300339643,0.03429403202328965,0.569560777388918,0.05712329423010274
50,10,2,5,squared_error,True,0.026151331902924225,0.035207473698040025,0.55809577601162,0.0938037043265542
50,10,2,5,squared_error,False,0.019297428432799614,0.041161991266375535,0.4833580516344528,0.06273053303053153
50,10,2,10,squared_error,True,0.03193179064162042,0.04733615943074951,0.40586339766263635,0.11328066411679161
50,10,2,10,squared_error,False,0.022045932395277374,0.042857126170323646,0.46208168058013,0.09329014168134661
50,10,4,2,squared_error,True,0.029493554339697654,0.04910050349931958,0.3837183524612431,0.11239416679433042
50,10,4,2,squared_error,False,0.024716157205240175,0.05077414685427786,0.36271173112995114,0.10240224995972295
50,10,4,5,squared_error,True,0.029493554339697654,0.04910050349931958,0.3837183524612431,0.11239416679433042
50,10,4,5,squared_error,False,0.024716157205240175,0.05077414685427786,0.36271173112995114,0.10240224995972295
50,10,4,10,squared_error,True,0.03021371678836336,0.05105601470210204,0.3591738859091237,0.11602657287707849
50,10,4,10,squared_error,False,0.02643538735241792,0.051996845292648315,0.3473651144083436,0.10454086635200355
50,10,6,2,squared_error,True,0.031992230880982436,0.0555490415623998,0.30277996326964274,0.11990395701627513
50,10,6,2,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11094538542035692
50,10,6,5,squared_error,True,0.031992230880982436,0.0555490415623998,0.30277996326964274,0.11990395701627513
50,10,6,5,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11094538542035692
50,10,6,10,squared_error,True,0.031992230880982436,0.0555490415623998,0.30277996326964274,0.11990395701627513
50,10,6,10,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11094538542035692
50,20,2,2,squared_error,True,0.02489985906055775,0.033308888557154914,0.5819257389494439,0.08848414249494686
50,20,2,2,squared_error,False,0.014750121300339643,0.03429403202328965,0.569560777388918,0.05678698724954462
50,20,2,5,squared_error,True,0.025517176128093153,0.03508249919078461,0.5596643850836792,0.09346946774639134
50,20,2,5,squared_error,False,0.019297428432799614,0.041161991266375535,0.4833580516344528,0.06249916365844234
50,20,2,10,squared_error,True,0.03190950424010235,0.0474885871274915,0.40395021174021506,0.11288348389538279
50,20,2,10,squared_error,False,0.022045932395277374,0.042857126170323646,0.46208168058013,0.09299910715797055
50,20,4,2,squared_error,True,0.029528507688333015,0.04907285365348754,0.38406539763041936,0.11227205588254344
50,20,4,2,squared_error,False,0.024716157205240175,0.05077414685427786,0.36271173112995114,0.10263262918647838
50,20,4,5,squared_error,True,0.029528507688333015,0.04907285365348754,0.38406539763041936,0.11227205588254344
