n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.03446541619352376,0.05513636497432383,0.3079596455432402,0.12130718199337502
50,5,2,2,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.11285120335221224
50,5,2,5,squared_error,True,0.03491160165460775,0.055595472256128,0.3021971915588072,0.12213453720847997
50,5,2,5,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.11493686256731409
50,5,2,10,squared_error,True,0.03492691176904451,0.05540018129023333,0.3046483729038758,0.12947476779088324
50,5,2,10,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.11882853863057483
50,5,4,2,squared_error,True,0.033600760784375,0.05629913452277707,0.29336522222864847,0.12581550202131525
50,5,4,2,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.11367729925405948
50,5,4,5,squared_error,True,0.033600760784375,0.05629913452277707,0.29336522222864847,0.12581550202131525
50,5,4,5,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.11367729925405948
50,5,4,10,squared_error,True,0.033855959297652116,0.05670890038602733,0.2882220737207618,0.12761414710660607
50,5,4,10,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.11260870084740641
50,5,6,2,squared_error,True,0.034885458669297556,0.058969213793885616,0.2598519029145062,0.13009862880225698
50,5,6,2,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.12451600440147517
50,5,6,5,squared_error,True,0.034885458669297556,0.058969213793885616,0.2598519029145062,0.13009862880225698
50,5,6,5,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.12451600440147517
50,5,6,10,squared_error,True,0.034885458669297556,0.058969213793885616,0.2598519029145062,0.13009862880225698
50,5,6,10,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.12451600440147517
50,10,2,2,squared_error,True,0.024359205381651487,0.036094691162983555,0.5469599260293864,0.10958035944608191
50,10,2,2,squared_error,False,0.016454148471615724,0.035213435549086194,0.5580209462415919,0.08874107502102839
50,10,2,5,squared_error,True,0.02572641270126055,0.03926310331345905,0.5071918152970003,0.11123641247064012
50,10,2,5,squared_error,False,0.019260553129548767,0.040929453016335104,0.486276739746331,0.09287927590591986
50,10,2,10,squared_error,True,0.029730289927819523,0.0476653420796616,0.40173168391726655,0.12425719602164427
50,10,2,10,squared_error,False,0.02178262979136342,0.0426053805595989,0.4652414485800702,0.1026445335947133
50,10,4,2,squared_error,True,0.029976906090591948,0.04998131918888483,0.3726628539295269,0.12252349034794956
50,10,4,2,squared_error,False,0.021804949053857346,0.05659656315704351,0.2896320668496315,0.10540867203345343
