n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.03616963645745075,0.05511568458431314,0.30821921405922714,0.10445024628243478
50,5,2,2,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.08419384774088645
50,5,2,5,squared_error,True,0.03646832070553135,0.05545202851238517,0.30399761600301256,0.10764656172414955
50,5,2,5,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.08903617262911298
50,5,2,10,squared_error,True,0.03686007775973382,0.055610533593070624,0.3020081502072198,0.12084489684544195
50,5,2,10,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.11034507145342162
50,5,4,2,squared_error,True,0.03382447261786634,0.05631109863665438,0.2932150554628077,0.1176943280197259
50,5,4,2,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.1115514704744602
50,5,4,5,squared_error,True,0.03382447261786634,0.05631109863665438,0.2932150554628077,0.1176943280197259
50,5,4,5,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.1115514704744602
50,5,4,10,squared_error,True,0.034079671131143456,0.05672740745457051,0.28798978350212767,0.12050260465999948
50,5,4,10,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.11281710694849012
50,5,6,2,squared_error,True,0.03482340507388306,0.05898270606969428,0.25968255552757913,0.12296351862868651
50,5,6,2,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11505115537219494
50,5,6,5,squared_error,True,0.03482340507388306,0.05898270606969428,0.25968255552757913,0.12296351862868651
50,5,6,5,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11505115537219494
50,5,6,10,squared_error,True,0.03482340507388306,0.05898270606969428,0.25968255552757913,0.12296351862868651
50,5,6,10,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11505115537219494
50,10,2,2,squared_error,True,0.024831413819466453,0.03312249174300005,0.5842652859507274,0.08916794351315863
50,10,2,2,squared_error,False,0.014750121300339643,0.03429403202328965,0.569560777388918,0.057126285314370785
50,10,2,5,squared_error,True,0.026422132485165853,0.035498961490319905,0.5544371867088409,0.09378274120904025
50,10,2,5,squared_error,False,0.019297428432799614,0.041161991266375535,0.4833580516344528,0.06273199022543136
50,10,2,10,squared_error,True,0.03192596822531766,0.047335289493254856,0.40587431662424067,0.113283313562064
50,10,2,10,squared_error,False,0.02211289018275918,0.04298186852840225,0.4605159853127563,0.09329126653355
50,10,4,2,squared_error,True,0.029493554339697654,0.04910050349931958,0.3837183524612431,0.11241175092174467
50,10,4,2,squared_error,False,0.024716157205240175,0.05077414685427786,0.36271173112995114,0.10240168753362126
50,10,4,5,squared_error,True,0.029493554339697654,0.04910050349931958,0.3837183524612431,0.11241175092174467
50,10,4,5,squared_error,False,0.024716157205240175,0.05077414685427786,0.36271173112995114,0.10240168753362126
50,10,4,10,squared_error,True,0.03021371678836336,0.05105601470210204,0.3591738859091237,0.11602657287707849
50,10,4,10,squared_error,False,0.02643538735241792,0.051996845292648315,0.3473651144083436,0.10453974149980017
50,10,6,2,squared_error,True,0.031992230880982436,0.0555490415623998,0.30277996326964274,0.1199109267141725
50,10,6,2,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11093214258450423
50,10,6,5,squared_error,True,0.031992230880982436,0.0555490415623998,0.30277996326964274,0.1199109267141725
50,10,6,5,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11093214258450423
50,10,6,10,squared_error,True,0.031992230880982436,0.0555490415623998,0.30277996326964274,0.1199109267141725
50,10,6,10,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11093214258450423
50,20,2,2,squared_error,True,0.025126933296365613,0.033434918251478055,0.5803438857682979,0.08845882810514724
50,20,2,2,squared_error,False,0.014750121300339643,0.03429403202328965,0.569560777388918,0.05675857194899817
50,20,2,5,squared_error,True,0.025661280931586608,0.03526797880539611,0.557336350250407,0.09345919072480939
50,20,2,5,squared_error,False,0.019297428432799614,0.041161991266375535,0.4833580516344528,0.06249770646354251
50,20,2,10,squared_error,True,0.03191532665640512,0.047489457064986154,0.40393929277861085,0.11288613334065518
50,20,2,10,squared_error,False,0.02211289018275918,0.04298186852840225,0.4605159853127563,0.09299910715797055
50,20,4,2,squared_error,True,0.029528507688333015,0.04907285365348754,0.38406539763041936,0.11227675689307452
50,20,4,2,squared_error,False,0.024716157205240175,0.05077414685427786,0.36271173112995114,0.10263110260134523
50,20,4,5,squared_error,True,0.029528507688333015,0.04907285365348754,0.38406539763041936,0.11227675689307452
50,20,4,5,squared_error,False,0.024716157205240175,0.05077414685427786,0.36271173112995114,0.10263110260134523
50,20,4,10,squared_error,True,0.03009514530181449,0.050970654248020934,0.36024528187304683,0.11605369526443668
50,20,4,10,squared_error,False,0.02643538735241792,0.051996845292648315,0.3473651144083436,0.10441508742380874
50,20,6,2,squared_error,True,0.03196556851206641,0.055548250474169274,0.3027898925600433,0.11986658191429725
50,20,6,2,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11093214258450423
50,20,6,5,squared_error,True,0.03196556851206641,0.055548250474169274,0.3027898925600433,0.11986658191429725
50,20,6,5,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11093214258450423
50,20,6,10,squared_error,True,0.03196556851206641,0.055548250474169274,0.3027898925600433,0.11986658191429725
50,20,6,10,squared_error,False,0.028370370370370372,0.05956889478318685,0.25232504755162066,0.11093214258450423
