n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.033864454402983135,0.05427887206900092,0.31872240972655497,0.10455775702142547
50,5,2,2,squared_error,False,0.03479403155635436,0.059433328085714894,0.25402660378251674,0.08480428578892704
50,5,2,5,squared_error,True,0.034225028779911654,0.0548012405782216,0.3121659367264493,0.10817714983759034
50,5,2,5,squared_error,False,0.03479403155635436,0.059433328085714894,0.25402660378251674,0.0898127308957328
50,5,2,10,squared_error,True,0.03496498789352434,0.0550781807991543,0.3086899402811476,0.12110956021651649
50,5,2,10,squared_error,False,0.03479403155635436,0.059433328085714894,0.25402660378251674,0.11112162972004144
50,5,4,2,squared_error,True,0.03344572351022469,0.05632983944878071,0.2929798314274047,0.117961782478941
50,5,4,2,squared_error,False,0.03392279511287065,0.058888223639012555,0.2608684453636133,0.11232802874108003
50,5,4,5,squared_error,True,0.03344572351022469,0.05632983944878071,0.2929798314274047,0.117961782478941
50,5,4,5,squared_error,False,0.03392279511287065,0.058888223639012555,0.2608684453636133,0.11232802874108003
50,5,4,10,squared_error,True,0.03377318396825283,0.05677808817960324,0.28735366781092986,0.1205892856510166
50,5,4,10,squared_error,False,0.03392279511287065,0.058888223639012555,0.2608684453636133,0.11359366521510997
50,5,6,2,squared_error,True,0.0347473749960692,0.05902086112343423,0.2592036549521277,0.12317327403089962
50,5,6,2,squared_error,False,0.03393422362015963,0.05888880230340445,0.2608611822966508,0.1158650402466332
50,5,6,5,squared_error,True,0.0347473749960692,0.05902086112343423,0.2592036549521277,0.12317327403089962
50,5,6,5,squared_error,False,0.03393422362015963,0.05888880230340445,0.2608611822966508,0.1158650402466332
50,5,6,10,squared_error,True,0.0347473749960692,0.05902086112343423,0.2592036549521277,0.12317327403089962
50,5,6,10,squared_error,False,0.03393422362015963,0.05888880230340445,0.2608611822966508,0.1158650402466332
50,10,2,2,squared_error,True,0.021874569878630148,0.0319872495971296,0.5985142009343012,0.08808897192270233
50,10,2,2,squared_error,False,0.014750121300339643,0.03429403202328965,0.569560777388918,0.05677826896915272
50,10,2,5,squared_error,True,0.02371730572114765,0.03456062942494608,0.5662145981399688,0.09227715799249149
50,10,2,5,squared_error,False,0.01923047064531781,0.04102800873362445,0.4850397243290393,0.06244344254790836
50,10,2,10,squared_error,True,0.029528824162098007,0.04656747098960503,0.4155115386223127,0.1125327935760578
50,10,2,10,squared_error,False,0.021978974607795573,0.04273546387046921,0.4636087167050994,0.09325018004938684
50,10,4,2,squared_error,True,0.029385688487290312,0.04894187508081239,0.3857093663233603,0.1123147346811183
50,10,4,2,squared_error,False,0.024751091703056772,0.050752699660359044,0.3629809241333092,0.101644460463296
50,10,4,5,squared_error,True,0.029385688487290312,0.04894187508081239,0.3857093663233603,0.1123147346811183
50,10,4,5,squared_error,False,0.024751091703056772,0.050752699660359044,0.3629809241333092,0.101644460463296
50,10,4,10,squared_error,True,0.029924849064434055,0.05066762305397639,0.3640487574020502,0.11591572083576585
50,10,4,10,squared_error,False,0.02643538735241792,0.051910746311571165,0.3484457799438889,0.10402451264884627
50,10,6,2,squared_error,True,0.03159549776024942,0.05536703832620714,0.30506436457440234,0.11999699797778138
50,10,6,2,squared_error,False,0.028292738153000162,0.05956450597516486,0.25238013337856247,0.1105514386731555
50,10,6,5,squared_error,True,0.03159549776024942,0.05536703832620714,0.30506436457440234,0.11999699797778138
50,10,6,5,squared_error,False,0.028292738153000162,0.05956450597516486,0.25238013337856247,0.1105514386731555
50,10,6,10,squared_error,True,0.03159549776024942,0.05536703832620714,0.30506436457440234,0.11999699797778138
50,10,6,10,squared_error,False,0.028292738153000162,0.05956450597516486,0.25238013337856247,0.1105514386731555
50,20,2,2,squared_error,True,0.021868695270441992,0.031843888983912064,0.6003135819713428,0.08746791037620547
50,20,2,2,squared_error,False,0.014750121300339643,0.03429403202328965,0.569560777388918,0.056518029254291544
50,20,2,5,squared_error,True,0.02326945079827176,0.03426862657947346,0.5698796520980483,0.0923024367168663
50,20,2,5,squared_error,False,0.01923047064531781,0.04102800873362445,0.4850397243290393,0.062358856322790736
50,20,2,10,squared_error,True,0.02935900950455752,0.046431814393143075,0.41721422321429924,0.11250820603942743
50,20,2,10,squared_error,False,0.021978974607795573,0.04273546387046921,0.4636087167050994,0.09339239435731239
50,20,4,2,squared_error,True,0.02909522101705508,0.04881951763352102,0.3872451275443508,0.11220124315204302
50,20,4,2,squared_error,False,0.024751091703056772,0.050752699660359044,0.3629809241333092,0.10152664059486356
50,20,4,5,squared_error,True,0.02909522101705508,0.04881951763352102,0.3872451275443508,0.11220124315204302
50,20,4,5,squared_error,False,0.024751091703056772,0.050752699660359044,0.3629809241333092,0.10152664059486356
50,20,4,10,squared_error,True,0.030145930355965918,0.05084678056675743,0.3618000740021503,0.11594247898953455
50,20,4,10,squared_error,False,0.02643538735241792,0.051910746311571165,0.3484457799438889,0.10373447425596058
50,20,6,2,squared_error,True,0.031558413175671006,0.055342572382727905,0.30537144720861975,0.11999150341888984
50,20,6,2,squared_error,False,0.028292738153000162,0.05956450597516486,0.25238013337856247,0.1105514386731555
50,20,6,5,squared_error,True,0.031558413175671006,0.055342572382727905,0.30537144720861975,0.11999150341888984
50,20,6,5,squared_error,False,0.028292738153000162,0.05956450597516486,0.25238013337856247,0.1105514386731555
50,20,6,10,squared_error,True,0.031558413175671006,0.055342572382727905,0.30537144720861975,0.11999150341888984
50,20,6,10,squared_error,False,0.028292738153000162,0.05956450597516486,0.25238013337856247,0.1105514386731555
100,5,2,2,squared_error,True,0.03362004032597867,0.05077092647692383,0.3627521514784201,0.10369544045914023
100,5,2,2,squared_error,False,0.03479403155635436,0.059433328085714894,0.25402660378251674,0.08481812914047532
100,5,2,5,squared_error,True,0.03404748331028869,0.05154434037230163,0.35304469929965765,0.10648402113422557
100,5,2,5,squared_error,False,0.03479403155635436,0.059433328085714894,0.25402660378251674,0.08981273089573281
100,5,2,10,squared_error,True,0.03589108059256864,0.05391487805195486,0.323291056003726,0.11923979420683928
100,5,2,10,squared_error,False,0.03479403155635436,0.059433328085714894,0.25402660378251674,0.11112162972004143
100,5,4,2,squared_error,True,0.03443325502844615,0.05425996860371132,0.31895967529213154,0.11583823447325681
100,5,4,2,squared_error,False,0.03392279511287065,0.05888822363901256,0.2608684453636132,0.11231274210421963
100,5,4,5,squared_error,True,0.03443325502844615,0.05425996860371132,0.31895967529213154,0.11583823447325681
100,5,4,5,squared_error,False,0.03392279511287065,0.05888822363901256,0.2608684453636132,0.11231274210421963
100,5,4,10,squared_error,True,0.035036088362829704,0.05530186516541719,0.3058823810924508,0.1184006505408524
100,5,4,10,squared_error,False,0.03392279511287065,0.05888822363901256,0.2608684453636132,0.11359366521510994
100,5,6,2,squared_error,True,0.03489601087955363,0.0561376857905965,0.29539163506701516,0.1224180249587334
100,5,6,2,squared_error,False,0.03393422362015963,0.058888802303404465,0.2608611822966507,0.11578405383777793
100,5,6,5,squared_error,True,0.03489601087955363,0.0561376857905965,0.29539163506701516,0.1224180249587334
100,5,6,5,squared_error,False,0.03393422362015963,0.058888802303404465,0.2608611822966507,0.11578405383777793
100,5,6,10,squared_error,True,0.03489601087955363,0.0561376857905965,0.29539163506701516,0.1224180249587334
100,5,6,10,squared_error,False,0.03393422362015963,0.058888802303404465,0.2608611822966507,0.11578405383777793
100,10,2,2,squared_error,True,0.022186917712602665,0.027974388755335457,0.648881352280497,0.08750741259783945
100,10,2,2,squared_error,False,0.014750121300339654,0.03429403202328966,0.5695607773889179,0.05692763112566176
100,10,2,5,squared_error,True,0.023605238088466634,0.03010159171667925,0.6221819082374347,0.09174181216725119
100,10,2,5,squared_error,False,0.0190295972828724,0.04064454148471615,0.48985278755837336,0.062456979832749907
100,10,2,10,squared_error,True,0.030321321378581147,0.043127740731718475,0.45868508022252485,0.11119895003717399
100,10,2,10,squared_error,False,0.021811580139091066,0.04244478337556381,0.46725717326950444,0.09330637002971935
100,10,4,2,squared_error,True,0.029950004460227796,0.045195720483825606,0.43272897228316265,0.11051790521867229
100,10,4,2,squared_error,False,0.024756914119359534,0.050769592511725685,0.36276889465234863,0.10158224047915783
100,10,4,5,squared_error,True,0.029950004460227796,0.045195720483825606,0.43272897228316265,0.11051790521867229
100,10,4,5,squared_error,False,0.024756914119359534,0.050769592511725685,0.36276889465234863,0.10158224047915783
100,10,4,10,squared_error,True,0.030986038555340868,0.04716816318339194,0.40797199119474303,0.11392221210339053
100,10,4,10,squared_error,False,0.026435387352417915,0.051910746311571145,0.34844577994388914,0.10399496733084021
100,10,6,2,squared_error,True,0.03169503039923704,0.05131675823348769,0.35590118111680624,0.11951810523768888
100,10,6,2,squared_error,False,0.02831602781821123,0.05956883267741303,0.25232582706803863,0.11065234516823905
100,10,6,5,squared_error,True,0.03169503039923704,0.05131675823348769,0.35590118111680624,0.11951810523768888
100,10,6,5,squared_error,False,0.02831602781821123,0.05956883267741303,0.25232582706803863,0.11065234516823905
100,10,6,10,squared_error,True,0.03169503039923704,0.05131675823348769,0.35590118111680624,0.11951810523768888
100,10,6,10,squared_error,False,0.02831602781821123,0.05956883267741303,0.25232582706803863,0.11065234516823905
100,20,2,2,squared_error,True,0.021979956562925992,0.02789228250024113,0.6499119033860162,0.08752586174206284
100,20,2,2,squared_error,False,0.014750121300339654,0.03429403202328966,0.5695607773889179,0.05690488138212731
100,20,2,5,squared_error,True,0.023283336799057325,0.029883547885873524,0.6249186706269787,0.09161416188294788
100,20,2,5,squared_error,False,0.0190295972828724,0.04064454148471615,0.48985278755837336,0.062367416128498124
100,20,2,10,squared_error,True,0.03029891629206662,0.04305225030662466,0.4596325931854187,0.11120560158911445
100,20,2,10,squared_error,False,0.021811580139091066,0.04244478337556381,0.46725717326950444,0.0934065991058122
100,20,4,2,squared_error,True,0.029804241711613923,0.04513760790944392,0.43345836832862605,0.11044602645888764
100,20,4,2,squared_error,False,0.024756914119359534,0.050769592511725685,0.36276889465234863,0.10148615463613495
100,20,4,5,squared_error,True,0.029804241711613923,0.04513760790944392,0.43345836832862605,0.11044602645888764
100,20,4,5,squared_error,False,0.024756914119359534,0.050769592511725685,0.36276889465234863,0.10148615463613495
100,20,4,10,squared_error,True,0.03114328593377832,0.04727182955864709,0.4066708296997801,0.11386152863651769
100,20,4,10,squared_error,False,0.026435387352417915,0.051910746311571145,0.34844577994388914,0.10382562594458769
100,20,6,2,squared_error,True,0.031670848924077795,0.051302558879289244,0.35607940335030186,0.11951726198337997
100,20,6,2,squared_error,False,0.02831602781821123,0.05956883267741303,0.25232582706803863,0.11065234516823905
100,20,6,5,squared_error,True,0.031670848924077795,0.051302558879289244,0.35607940335030186,0.11951726198337997
100,20,6,5,squared_error,False,0.02831602781821123,0.05956883267741303,0.25232582706803863,0.11065234516823905
100,20,6,10,squared_error,True,0.031670848924077795,0.051302558879289244,0.35607940335030186,0.11951726198337997
100,20,6,10,squared_error,False,0.02831602781821123,0.05956883267741303,0.25232582706803863,0.11065234516823905
150,5,2,2,squared_error,True,0.03365755458003091,0.05165206009820626,0.3516926624482667,0.10284138366983235
150,5,2,2,squared_error,False,0.034794031556354355,0.05943332808571489,0.25402660378251696,0.08481837200629196
150,5,2,5,squared_error,True,0.0338488567037251,0.05215719323862802,0.3453525180134982,0.10548346438736547
150,5,2,5,squared_error,False,0.034794031556354355,0.05943332808571489,0.25402660378251696,0.08978067260793682
150,5,2,10,squared_error,True,0.03594773971442928,0.05461420103963894,0.3145135508399014,0.11847671660037602
150,5,2,10,squared_error,False,0.03479403155635435,0.05943332808571489,0.25402660378251696,0.11108957143224547
150,5,4,2,squared_error,True,0.034205979045758894,0.05507006904992004,0.3087917543528218,0.11559445395021062
150,5,4,2,squared_error,False,0.03392279511287064,0.05888822363901256,0.2608684453636132,0.11227413240062631
150,5,4,5,squared_error,True,0.034205979045758894,0.05507006904992004,0.3087917543528218,0.11559445395021062
150,5,4,5,squared_error,False,0.03392279511287064,0.05888822363901256,0.2608684453636132,0.11227413240062631
150,5,4,10,squared_error,True,0.034862480661541365,0.05592539362404691,0.29805620583180503,0.11853019878238291
150,5,4,10,squared_error,False,0.03392279511287064,0.05888822363901256,0.2608684453636132,0.11356160692731394
150,5,6,2,squared_error,True,0.03514097524811355,0.057001866527034116,0.2845449290239618,0.12218399290917197
150,5,6,2,squared_error,False,0.03393422362015963,0.058888802303404465,0.2608611822966507,0.11575347142686762
150,5,6,5,squared_error,True,0.03514097524811355,0.057001866527034116,0.2845449290239618,0.12218399290917197
150,5,6,5,squared_error,False,0.03393422362015963,0.058888802303404465,0.2608611822966507,0.11575347142686762
150,5,6,10,squared_error,True,0.03514097524811355,0.057001866527034116,0.2845449290239618,0.12218399290917197
150,5,6,10,squared_error,False,0.03393422362015963,0.058888802303404465,0.2608611822966507,0.11575347142686762
150,10,2,2,squared_error,True,0.02265690993351716,0.029683585631527502,0.6274284833329857,0.0863760393651595
150,10,2,2,squared_error,False,0.01475012130033966,0.034294032023289664,0.5695607773889177,0.056951682641103764
150,10,2,5,squared_error,True,0.02403372159119485,0.03193370320135443,0.5991862848979318,0.09075023696521664
150,10,2,5,squared_error,False,0.01898495875788454,0.04056309105612161,0.4908751071019535,0.06255601334067934
150,10,2,10,squared_error,True,0.0307384688531608,0.0440309853190698,0.4473480668977827,0.11056204545615038
150,10,2,10,squared_error,False,0.021755781982856236,0.042352167735906686,0.46841963220430005,0.09332179262921637
150,10,4,2,squared_error,True,0.03005092441345706,0.04644535610029225,0.4170442553932463,0.10998751830085458
150,10,4,2,squared_error,False,0.02475109170305675,0.05076241806386686,0.3628589442492266,0.10160455643519024
150,10,4,5,squared_error,True,0.03005092441345706,0.04644535610029225,0.4170442553932463,0.10998751830085458
150,10,4,5,squared_error,False,0.02475109170305675,0.05076241806386686,0.3628589442492266,0.10160455643519024
150,10,4,10,squared_error,True,0.031096666660105965,0.04834118293376247,0.39324891316431376,0.11395151111783224
150,10,4,10,squared_error,False,0.026435387352417915,0.051921679515517453,0.34830855257429605,0.10394849571021444
150,10,6,2,squared_error,True,0.03258406154650829,0.05302132649759446,0.33450640788071195,0.11908808017106998
150,10,6,2,squared_error,False,0.02831861555879023,0.0595659505094615,0.25236200240407525,0.11059262575921254
150,10,6,5,squared_error,True,0.03258406154650829,0.05302132649759446,0.33450640788071195,0.11908808017106998
150,10,6,5,squared_error,False,0.02831861555879023,0.0595659505094615,0.25236200240407525,0.11059262575921254
150,10,6,10,squared_error,True,0.03258406154650829,0.05302132649759446,0.33450640788071195,0.11908808017106998
150,10,6,10,squared_error,False,0.02831861555879023,0.0595659505094615,0.25236200240407525,0.11059262575921254
150,20,2,2,squared_error,True,0.022204643299985373,0.029507071987573366,0.6296439823921884,0.08673207035743966
150,20,2,2,squared_error,False,0.01475012130033966,0.034294032023289664,0.5695607773889177,0.05678253323765894
150,20,2,5,squared_error,True,0.023935615379283504,0.0318109868129063,0.6007265513445654,0.09056044898343671
150,20,2,5,squared_error,False,0.01898495875788454,0.04056309105612161,0.4908751071019535,0.06236298033154865
150,20,2,10,squared_error,True,0.030621304697597065,0.0439057711466197,0.44891968411131733,0.1105845379412572
150,20,2,10,squared_error,False,0.021755781982856236,0.042352167735906686,0.46841963220430005,0.0933611361073656
150,20,4,2,squared_error,True,0.030011819980053568,0.04641538395581432,0.4174204487367501,0.11002497323024829
150,20,4,2,squared_error,False,0.02475109170305675,0.05076241806386686,0.3628589442492266,0.10150153111232023
150,20,4,5,squared_error,True,0.030011819980053568,0.04641538395581432,0.4174204487367501,0.11002497323024829
150,20,4,5,squared_error,False,0.02475109170305675,0.05076241806386686,0.3628589442492266,0.10150153111232023
150,20,4,10,squared_error,True,0.031284086785993946,0.04841838546176342,0.3922799108576217,0.11387369016995655
150,20,4,10,squared_error,False,0.026435387352417915,0.051921679515517453,0.34830855257429605,0.10389523931482403
150,20,6,2,squared_error,True,0.03256835316907387,0.053006650678995536,0.3346906104248927,0.11908935681249007
150,20,6,2,squared_error,False,0.02831861555879023,0.0595659505094615,0.25236200240407525,0.11059262575921254
150,20,6,5,squared_error,True,0.03256835316907387,0.053006650678995536,0.3346906104248927,0.11908935681249007
150,20,6,5,squared_error,False,0.02831861555879023,0.0595659505094615,0.25236200240407525,0.11059262575921254
150,20,6,10,squared_error,True,0.03256835316907387,0.053006650678995536,0.3346906104248927,0.11908935681249007
150,20,6,10,squared_error,False,0.02831861555879023,0.0595659505094615,0.25236200240407525,0.11059262575921254
