n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.003644280246217517,1.4163835936543104e-05,-30.864559733253657,0.09039419726050821
50,5,2,2,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.08173457488049071
50,5,2,5,squared_error,True,0.003644280246217517,1.4163835936543104e-05,-30.864559733253657,0.09074996075734384
50,5,2,5,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.08172123414602118
50,5,2,10,squared_error,True,0.0036442802462175175,1.4163835936543109e-05,-30.86455973325367,0.09193043545994321
50,5,2,10,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.08171316209217461
50,5,4,2,squared_error,True,0.0035606226382398102,1.3555246291924975e-05,-29.495407960326034,0.09129926774019528
50,5,4,2,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.08344465030437628
50,5,4,5,squared_error,True,0.0035606226382398102,1.3555246291924975e-05,-29.495407960326034,0.09129926774019528
50,5,4,5,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.08344465030437628
50,5,4,10,squared_error,True,0.0035606226382398102,1.3555246291924975e-05,-29.495407960326034,0.09026752319860724
50,5,4,10,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.08344465030437628
50,5,6,2,squared_error,True,0.0034777715895068996,1.2969693030458485e-05,-28.178081428121487,0.09013836654141619
50,5,6,2,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.09894166590904994
50,5,6,5,squared_error,True,0.0034777715895068996,1.2969693030458485e-05,-28.178081428121487,0.09013836654141619
50,5,6,5,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.09894166590904994
50,5,6,10,squared_error,True,0.0034777715895068996,1.2969693030458485e-05,-28.178081428121487,0.09013836654141619
50,5,6,10,squared_error,False,0.0029895566250479296,9.381950042538456e-06,-20.106690933461348,0.09894166590904994
50,10,2,2,squared_error,True,0.0025099264426253942,7.805685363056757e-06,-16.560548471787143,0.09914892455575174
50,10,2,2,squared_error,False,0.002540002237080708,8.124656006733846e-06,-17.278140738044613,0.09378581715203359
50,10,2,5,squared_error,True,0.0025142232300061126,7.83444086967624e-06,-16.625240096460118,0.09905480604892722
50,10,2,5,squared_error,False,0.002539988188135608,8.12699743276782e-06,-17.28340827362289,0.09367554513185841
50,10,2,10,squared_error,True,0.0025166048214560377,7.853342648412572e-06,-16.66776366566178,0.09988706714882825
50,10,2,10,squared_error,False,0.0025133165444711763,7.913242749302524e-06,-16.80252167552487,0.09334913489210586
50,10,4,2,squared_error,True,0.00253360584033213,7.957926880370324e-06,-16.90304812682786,0.09589280193263545
50,10,4,2,squared_error,False,0.002553044244465357,8.235749827120963e-06,-17.528069902119963,0.08368316535227713
50,10,4,5,squared_error,True,0.00253360584033213,7.957926880370324e-06,-16.90304812682786,0.09589280193263545
50,10,4,5,squared_error,False,0.002553044244465357,8.235749827120963e-06,-17.528069902119963,0.08368316535227713
50,10,4,10,squared_error,True,0.0025213661548887,7.832837138084341e-06,-16.621632161340344,0.09436568375672974
50,10,4,10,squared_error,False,0.002538895238867105,8.125254901582785e-06,-17.279488079313843,0.08431084428613461
50,10,6,2,squared_error,True,0.002534587544649286,7.92271266113419e-06,-16.82382625520093,0.09335647647274961
50,10,6,2,squared_error,False,0.0025499605570130806,8.20971285176468e-06,-17.469494191399324,0.0941447307419457
50,10,6,5,squared_error,True,0.002534587544649286,7.92271266113419e-06,-16.82382625520093,0.09335647647274961
50,10,6,5,squared_error,False,0.0025499605570130806,8.20971285176468e-06,-17.469494191399324,0.0941447307419457
50,10,6,10,squared_error,True,0.002534587544649286,7.92271266113419e-06,-16.82382625520093,0.09335647647274961
50,10,6,10,squared_error,False,0.0025499605570130806,8.20971285176468e-06,-17.469494191399324,0.0941447307419457
50,20,2,2,squared_error,True,0.002483721766407756,7.611856402938306e-06,-16.12448902395113,0.09852738994961005
50,20,2,2,squared_error,False,0.0025612948651444543,8.288165756565357e-06,-17.645990677412602,0.09257370788850694
50,20,2,5,squared_error,True,0.002526888368024364,7.931112550220731e-06,-16.842723591258054,0.09909619112407
50,20,2,5,squared_error,False,0.002538838664088395,8.102086055362924e-06,-17.227364834761246,0.09260246206654188
