n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.004989353374284478,2.57215934851285e-05,-29.567851416000373,0.08708162773272835
50,5,2,2,squared_error,False,0.007654773823622218,5.943702128428452e-05,-69.63567178596922,0.09626854952843154
50,5,2,5,squared_error,True,0.004989353374284478,2.5721593485128504e-05,-29.56785141600038,0.08750284967668875
50,5,2,5,squared_error,False,0.007654773823622218,5.943702128428452e-05,-69.63567178596922,0.09626868242753317
50,5,2,10,squared_error,True,0.004989353374284476,2.5721593485128494e-05,-29.567851416000366,0.08956876818972767
50,5,2,10,squared_error,False,0.007654773823622216,5.9437021284284496e-05,-69.6356717859692,0.09686503894027695
50,5,4,2,squared_error,True,0.004651863747788816,2.2461190511729846e-05,-25.69314926332237,0.09085116317412813
50,5,4,2,squared_error,False,0.007654773823622216,5.9437021284284496e-05,-69.6356717859692,0.09634260522525515
50,5,4,5,squared_error,True,0.004651863747788816,2.2461190511729846e-05,-25.69314926332237,0.09085116317412813
50,5,4,5,squared_error,False,0.007654773823622216,5.9437021284284496e-05,-69.6356717859692,0.09634260522525515
50,5,4,10,squared_error,True,0.004651863747788816,2.2461190511729846e-05,-25.69314926332237,0.09122702710327657
50,5,4,10,squared_error,False,0.007654773823622218,5.943702128428452e-05,-69.63567178596922,0.09641360704130554
50,5,6,2,squared_error,True,0.004292513496455531,1.9246164909776893e-05,-21.872374125267427,0.09025775632283033
50,5,6,2,squared_error,False,0.0037369171094615945,1.4806008476459425e-05,-16.595638755201044,0.09840298517998262
50,5,6,5,squared_error,True,0.004292513496455531,1.9246164909776893e-05,-21.872374125267427,0.09025775632283033
50,5,6,5,squared_error,False,0.0037369171094615945,1.4806008476459425e-05,-16.595638755201044,0.09840298517998262
50,5,6,10,squared_error,True,0.004292513496455531,1.9246164909776893e-05,-21.872374125267427,0.09025775632283033
50,5,6,10,squared_error,False,0.0037369171094615945,1.4806008476459425e-05,-16.595638755201044,0.09840298517998262
50,10,2,2,squared_error,True,0.0029576445607691743,1.0490984413742053e-05,-11.467612201096909,0.09723342955552021
50,10,2,2,squared_error,False,0.0031458237101757193,1.2168915090586715e-05,-13.461685221720279,0.12283015930003638
50,10,2,5,squared_error,True,0.0029349661815241904,1.0300286455548814e-05,-11.240984451352093,0.09653525148111725
50,10,2,5,squared_error,False,0.0031548814994453588,1.2255960379613888e-05,-13.56513089132795,0.11385873235079366
50,10,2,10,squared_error,True,0.002965165846131311,1.0551191655661301e-05,-11.539163212359833,0.09877193167293172
50,10,2,10,squared_error,False,0.0031369078417875797,1.2083781324220713e-05,-13.360511228660126,0.11563419438469594
50,10,4,2,squared_error,True,0.0029633201070843294,1.0539564674423861e-05,-11.525345567854714,0.09521613875756912
50,10,4,2,squared_error,False,0.003133850492127776,1.2054713119939051e-05,-13.32596622467639,0.11029433556775507
50,10,4,5,squared_error,True,0.0029633201070843294,1.0539564674423861e-05,-11.525345567854714,0.09521613875756912
50,10,4,5,squared_error,False,0.003133850492127776,1.2054713119939051e-05,-13.32596622467639,0.11029433556775507
