Campo,Valores Distintos
batch_size,10000
data_hora,"2024-08-18 16:00:31.241000, 2024-08-18 22:15:07.135000, 2024-08-21 20:30:00.801000, 2024-08-21 23:45:16.770000, 2024-10-19 13:59:42.967000, 2024-12-12 13:36:34.623000, 2024-12-12 20:33:30.167000, 2024-12-12 20:37:01.272000, 2024-12-12 20:43:54.405000, 2024-12-12 21:21:37.813000, 2024-12-12 21:22:32.207000, 2024-12-12 22:29:47.221000, 2024-12-12 22:30:20.159000, 2024-12-12 22:30:56.226000, 2024-12-12 22:35:32.538000, 2024-12-12 22:36:04.835000, 2024-12-12 22:36:40.928000, 2024-12-12 22:41:15.551000, 2024-12-12 22:41:47.870000, 2024-12-12 22:42:23.803000, 2024-12-12 22:47:04.633000, 2024-12-12 22:47:37.829000, 2024-12-12 22:48:14.343000"
linkage,average
n_clusters,"5, 10, 20, 100"
nome_fusao,agglomerative_average_pca_minibatch
pca_explained_variance_ratio,"0.002493950560424284, 0.002707281432384933, 0.004200113926397204, 0.009842701814263966, 0.009842701814263971, 0.009842701814263975, 0.00984270181426398, 0.009842701814263983, 0.0359452291379634, 0.038306824009132524, 0.05008621013102149, 0.050086210131021505, 0.05008621013102152, 0.05008621013102154, 0.050086210131021554, 0.05008621013102158, 0.050086210131021616, 0.9373638066223287, 0.9373638066223291, 0.9373638066223293, 0.9373638066223297, 0.9373638066223299, 0.9373638066223307, 0.9591992254304432, 0.9598546569356394"
pca_n_components,"2, 3, 4"
pca_singular_values,"19.551576265026135, 73.09511913276913, 76.62596018648794, 86.01065689868182, 139.37306153400453, 139.37306153400456, 139.3730615340046, 139.37306153400462, 139.37306153400465, 251.61837743413824, 314.3987144044741, 314.39871440447416, 314.3987144044742, 314.3987144044743, 314.39871440447433, 314.3987144044744, 314.3987144044745, 383.43545318308566, 1300.2428294139895, 1360.1154257738237, 1360.115425773824, 1360.1154257738242, 1360.1154257738244, 1360.1154257738247, 1360.115425773825"
quantidade_dados_utilizados,"144989, 217578, 311305"
tempo_armazenamento_segundos,"2.099663, 2.107714, 2.140369, 2.168382, 2.182249, 2.198273, 2.208009, 2.212956, 2.23528, 2.25137, 2.255985, 2.264658, 2.265849, 2.283003, 2.487864, 2.506571, 2.520005, 2.528411, 3.399859, 3.441745, 3.740086, 3.912421, 5.857749"
tempo_fusao_segundos,"27.397463, 28.44909, 28.461787, 29.012134, 29.145553, 31.060534, 31.164772, 31.236249, 31.950998, 31.985475, 32.130022, 32.207428, 32.311439, 32.383245, 32.526496, 33.9961, 34.070769, 35.447166, 35.567568, 35.612482, 36.668058, 41.616078, 52.044507"
tipo_fusao,hierarquica
