Campo,Valores Distintos
batch_size,10000
data_hora,"2024-08-18 15:58:46.135000, 2024-08-18 22:37:30.075000, 2024-08-21 20:34:01.901000, 2024-08-21 23:53:17.754000, 2024-12-12 13:44:14.122000, 2024-12-12 20:46:54.880000, 2024-12-12 20:49:04.579000, 2024-12-12 20:49:47.993000, 2024-12-12 20:59:36.753000, 2024-12-12 21:00:22.355000, 2024-12-12 21:01:12.387000, 2024-12-12 21:23:19.171000, 2024-12-12 21:24:10.621000, 2024-12-12 22:31:34.429000, 2024-12-12 22:32:05.571000, 2024-12-12 22:32:39.355000, 2024-12-12 22:37:17.011000, 2024-12-12 22:37:47.373000, 2024-12-12 22:38:21.370000, 2024-12-12 22:43:03.431000, 2024-12-12 22:43:34.873000, 2024-12-12 22:44:09.172000, 2024-12-12 22:48:50.406000, 2024-12-12 22:49:20.845000, 2024-12-12 22:49:55.255000"
linkage,complete
n_clusters,"5, 10, 20, 100"
nome_fusao,agglomerative_complete_pca_minibatch
pca_explained_variance_ratio,"9.700688882241667e-05, 0.0026667940224424135, 0.002707281432384933, 0.004200113926397204, 0.009842701814263959, 0.009842701814263962, 0.009842701814263966, 0.009842701814263971, 0.009842701814263975, 0.00984270181426398, 0.009842701814263987, 0.0359452291379634, 0.05008621013102139, 0.050086210131021464, 0.05008621013102149, 0.050086210131021505, 0.05008621013102152, 0.05008621013102154, 0.050086210131021554, 0.9373638066223281, 0.9373638066223287, 0.9373638066223293, 0.9373638066223297, 0.9373638066223299, 0.9373638066223303, 0.9373638066223307, 0.9373638066223309, 0.9598546569356394, 0.9972361990887352"
pca_n_components,"2, 3, 4"
pca_singular_values,"73.09511913276913, 86.01065689868182, 139.37306153400448, 139.3730615340045, 139.37306153400453, 139.37306153400456, 139.3730615340046, 139.37306153400462, 139.37306153400468, 251.61837743413824, 314.3987144044738, 314.39871440447405, 314.3987144044741, 314.39871440447416, 314.3987144044742, 314.3987144044743, 314.39871440447433, 1300.2428294139895, 1360.1154257738233, 1360.1154257738237, 1360.1154257738242, 1360.1154257738244, 1360.1154257738247, 1360.1154257738249, 1360.115425773825, 1360.1154257738253, 1437.0053675576264, 7534.454919082629, 145698.84855320017"
quantidade_dados_utilizados,"144989, 217578"
tempo_armazenamento_segundos,"2.074637, 2.076449, 2.078, 2.136655, 2.137104, 2.157526, 2.198653, 2.25809, 2.267088, 2.280768, 2.290205, 2.293942, 2.303145, 2.320726, 2.335967, 2.412667, 2.416436, 2.45829, 2.572114, 2.653891, 2.672891, 2.735794, 3.130986, 3.287176, 3.351547"
tempo_fusao_segundos,"25.528197, 26.462164, 26.611494, 27.308128, 27.420918, 29.590317, 29.985701, 30.047623, 30.126119, 30.366319, 30.385571, 30.490547, 30.520638, 30.56143, 30.563707, 30.684193, 30.757248, 31.097418, 31.31012, 31.619954, 32.592331, 33.748786, 34.356753, 34.625616, 41.531906"
tipo_fusao,hierarquica
