Campo,Valores Distintos
batch_size,10000
data_hora,"2024-08-18 15:58:22.339000, 2024-08-18 16:29:34.592000, 2024-08-18 16:43:14.258000, 2024-08-18 19:22:50.218000, 2024-08-18 22:01:02.014000, 2024-08-18 22:06:37.065000, 2024-08-21 20:35:06.687000, 2024-08-21 23:52:46.533000, 2024-12-12 13:46:11.224000, 2024-12-12 20:51:07.966000, 2024-12-12 20:52:25.548000, 2024-12-12 20:53:08.212000, 2024-12-12 21:25:10.016000, 2024-12-12 21:25:30.886000, 2024-12-12 21:26:04.703000, 2024-12-12 21:26:32.370000, 2024-12-12 21:27:19.774000, 2024-12-12 22:33:15.379000, 2024-12-12 22:33:25.703000, 2024-12-12 22:33:36.517000, 2024-12-12 22:38:55.902000, 2024-12-12 22:39:06.145000, 2024-12-12 22:39:17.144000, 2024-12-12 22:44:44.071000, 2024-12-12 22:44:54.575000, 2024-12-12 22:45:05.829000, 2024-12-12 22:50:30.321000, 2024-12-12 22:50:41.038000, 2024-12-12 22:50:51.820000"
linkage,single
n_clusters,"5, 10, 20, 100"
nome_fusao,agglomerative_single_pca_minibatch
pca_explained_variance_ratio,"0.002707281432384933, 0.004200113926397204, 0.009842701814263966, 0.009842701814263971, 0.009842701814263975, 0.00984270181426399, 0.0359452291379634, 0.05008621013102143, 0.05008621013102145, 0.050086210131021464, 0.05008621013102149, 0.050086210131021505, 0.05008621013102152, 0.05008621013102154, 0.05008621013102159, 0.9373638066223287, 0.9373638066223293, 0.9373638066223297, 0.9373638066223299, 0.9373638066223303, 0.9373638066223307, 0.9373638066223309, 0.9373638066223315, 0.9598546569356394"
pca_n_components,"2, 3, 4"
pca_singular_values,"73.09511913276913, 86.01065689868182, 139.37306153400453, 139.37306153400456, 139.3730615340046, 139.3730615340047, 251.61837743413824, 314.39871440447394, 314.398714404474, 314.39871440447405, 314.3987144044741, 314.39871440447416, 314.3987144044742, 314.3987144044743, 314.39871440447445, 1300.2428294139895, 1360.1154257738237, 1360.1154257738242, 1360.1154257738244, 1360.1154257738247, 1360.1154257738249, 1360.115425773825, 1360.1154257738253, 1360.1154257738258"
quantidade_dados_utilizados,"144989, 217578"
tempo_armazenamento_segundos,"2.063154, 2.066902, 2.071752, 2.095606, 2.100122, 2.107986, 2.11167, 2.123841, 2.140063, 2.149234, 2.200974, 2.225676, 2.234147, 2.242677, 2.264252, 2.288503, 2.341235, 2.396965, 2.454984, 2.515703, 2.533956, 2.583661, 2.623673, 2.648569, 2.655826, 3.062523, 3.085352, 3.381517, 3.66425"
tempo_fusao_segundos,"6.227657, 6.293831, 6.467447, 6.502596, 6.507702, 6.672395, 7.022372, 7.032536, 7.041767, 7.053782, 7.110984, 7.119489, 7.136482, 7.166561, 7.167746, 7.193528, 7.23828, 7.319819, 7.322068, 7.34702, 7.374509, 8.645085, 8.725307, 8.831628, 8.841833, 8.865304, 8.901702, 8.976225, 9.94221"
tipo_fusao,hierarquica
