Campo,Valores Distintos
batch_size,10000
data_hora,"2024-08-18 15:42:44.440000, 2024-08-18 15:45:39.314000, 2024-08-18 15:47:25.112000, 2024-08-18 15:49:43.090000, 2024-08-18 15:55:26.057000, 2024-08-18 15:56:23.240000, 2024-08-18 22:44:33.600000, 2024-08-21 20:16:44.228000, 2024-08-21 20:46:21.388000, 2024-08-21 23:48:31.666000, 2024-12-12 13:47:54.200000, 2024-12-12 20:53:57.757000, 2024-12-12 20:55:03.583000, 2024-12-12 20:55:55.475000, 2024-12-12 21:02:22.487000, 2024-12-12 21:03:06.624000, 2024-12-12 21:03:55.222000, 2024-12-12 21:05:23.706000, 2024-12-12 21:28:02.217000, 2024-12-12 21:29:09.204000, 2024-12-12 21:58:34.750000, 2024-12-12 22:00:17.499000, 2024-12-12 22:24:31.479000, 2024-12-12 22:28:02.399000, 2024-12-12 22:28:35.003000, 2024-12-12 22:29:10.598000, 2024-12-12 22:33:47.653000, 2024-12-12 22:34:20.251000, 2024-12-12 22:34:56.108000, 2024-12-12 22:39:28.455000, 2024-12-12 22:40:02.162000, 2024-12-12 22:40:38.121000, 2024-12-12 22:45:17.072000, 2024-12-12 22:45:49.702000, 2024-12-12 22:46:27.171000"
linkage,ward
n_clusters,"5, 10, 20, 100"
nome_fusao,agglomerative_ward_pca_minibatch
pca_explained_variance_ratio,"0.002707281432384933, 0.004200113926397204, 0.009842701814263959, 0.009842701814263966, 0.009842701814263971, 0.009842701814263975, 0.00984270181426398, 0.009842701814263983, 0.009842701814263994, 0.0359452291379634, 0.05008621013102143, 0.050086210131021464, 0.05008621013102149, 0.050086210131021505, 0.05008621013102152, 0.05008621013102154, 0.050086210131021554, 0.9373638066223284, 0.9373638066223287, 0.9373638066223293, 0.9373638066223297, 0.9373638066223299, 0.9373638066223303, 0.9373638066223307, 0.9373638066223309, 0.9373638066223321, 0.9598546569356394"
pca_n_components,"2, 3, 4"
pca_singular_values,"73.09511913276913, 86.01065689868182, 139.37306153400448, 139.37306153400453, 139.37306153400456, 139.3730615340046, 139.37306153400462, 139.37306153400465, 139.37306153400473, 251.61837743413824, 314.39871440447394, 314.39871440447405, 314.3987144044741, 314.39871440447416, 314.3987144044742, 314.3987144044743, 314.39871440447433, 1300.2428294139895, 1360.1154257738235, 1360.1154257738237, 1360.1154257738242, 1360.1154257738244, 1360.1154257738247, 1360.1154257738249, 1360.115425773825, 1360.1154257738253, 1360.1154257738262"
quantidade_dados_utilizados,"144989, 217578"
tempo_armazenamento_segundos,"2.068715, 2.070693, 2.086072, 2.110851, 2.132095, 2.137873, 2.142391, 2.198284, 2.222794, 2.228254, 2.23461, 2.260766, 2.307416, 2.312629, 2.33114, 2.346831, 2.370704, 2.372314, 2.39461, 2.398184, 2.421515, 2.46161, 2.537434, 2.585361, 2.666903, 2.747291, 2.750205, 2.804418, 2.962914, 3.103563, 3.149774, 3.272056, 3.583388, 3.600812, 3.612725"
tempo_fusao_segundos,"27.630359, 28.060978, 28.482297, 28.715868, 28.762807, 28.825905, 29.765374, 31.372569, 31.728894, 32.051312, 32.15529, 32.26384, 32.364436, 32.423964, 32.428466, 32.526405, 32.602024, 32.656061, 32.684664, 32.743656, 33.266523, 33.360602, 33.40019, 33.616581, 38.455082, 39.701495, 40.152578, 42.832324, 43.94625, 44.638142, 47.698134"
tipo_fusao,hierarquica
