Campo,Valores Distintos
arima_order,"0, 1, 2"
concentrate_scale,"False, True"
damped_trend,False
damping_trend,None
data_hora,"2024-10-19 14:05:59.558000, 2024-12-12 13:25:57.899000, 2024-12-13 01:56:38.649000, 2024-12-13 02:02:54.313000, 2024-12-13 02:16:53.380000, 2024-12-13 02:22:36.733000, 2024-12-13 02:28:04.567000, 2024-12-13 02:33:41.346000, 2024-12-13 02:38:54.873000, 2024-12-13 02:44:37.546000, 2024-12-13 02:50:05.968000, 2024-12-13 02:55:43.873000, 2024-12-13 03:00:57.937000, 2024-12-13 03:06:41.806000, 2024-12-13 03:12:10.630000, 2024-12-13 03:17:49.779000, 2024-12-13 03:23:05.151000, 2024-12-13 03:28:48.823000, 2024-12-13 03:34:19.494000, 2024-12-13 03:39:57.642000, 2024-12-13 03:45:13.925000, 2024-12-13 03:45:30.524000, 2024-12-13 03:45:45.742000, 2024-12-13 03:46:02.161000, 2024-12-13 03:46:18.521000, 2024-12-13 03:46:35.371000, 2024-12-13 03:46:50.541000, 2024-12-13 03:47:07.155000, 2024-12-13 03:47:23.432000, 2024-12-13 03:47:40.289000, 2024-12-13 03:47:55.642000, 2024-12-13 03:48:13.330000, 2024-12-13 03:48:29.604000, 2024-12-13 03:48:46.879000, 2024-12-13 03:49:02.784000, 2024-12-13 03:49:19.611000, 2024-12-13 03:49:35.942000, 2024-12-13 03:56:25.262000, 2024-12-13 04:02:54.580000, 2024-12-13 04:08:50.434000, 2024-12-13 04:14:25.812000, 2024-12-13 04:21:14.020000, 2024-12-13 04:27:43.456000, 2024-12-13 04:33:38.370000, 2024-12-13 04:39:14.622000, 2024-12-13 04:46:04.395000, 2024-12-13 04:52:33.995000, 2024-12-13 04:58:29.643000, 2024-12-13 05:04:04.993000, 2024-12-13 05:10:53.386000, 2024-12-13 05:17:23.455000, 2024-12-13 05:23:20.846000, 2024-12-13 05:28:56.285000, 2024-12-13 05:29:14.842000, 2024-12-13 05:29:32.151000, 2024-12-13 05:29:50.600000, 2024-12-13 05:30:08.404000, 2024-12-13 05:30:27.174000, 2024-12-13 05:30:44.485000, 2024-12-13 05:31:02.852000, 2024-12-13 05:31:20.667000, 2024-12-13 05:31:39.230000, 2024-12-13 05:31:56.599000, 2024-12-13 05:32:14.987000, 2024-12-13 05:32:32.746000, 2024-12-13 05:32:51.389000, 2024-12-13 05:33:08.711000, 2024-12-13 05:33:27.034000, 2024-12-13 05:33:44.853000, 2024-12-13 05:38:57.861000, 2024-12-13 05:44:07.580000, 2024-12-13 05:50:10.010000, 2024-12-13 05:55:56.588000, 2024-12-13 06:01:09.261000, 2024-12-13 06:06:19.648000, 2024-12-13 06:12:21.365000, 2024-12-13 06:18:07.036000, 2024-12-13 06:23:20.416000, 2024-12-13 06:28:30.907000, 2024-12-13 06:34:34.186000, 2024-12-13 06:40:20.254000, 2024-12-13 06:45:32.902000, 2024-12-13 06:50:42.903000, 2024-12-13 06:56:45.876000, 2024-12-13 07:02:32.097000, 2024-12-13 07:02:49.614000, 2024-12-13 07:03:05.146000, 2024-12-13 07:03:20.802000, 2024-12-13 07:03:38.126000, 2024-12-13 07:03:55.800000, 2024-12-13 07:04:11.230000, 2024-12-13 07:04:26.894000, 2024-12-13 07:04:44.290000, 2024-12-13 07:05:02.007000, 2024-12-13 07:05:17.597000, 2024-12-13 07:05:33.212000, 2024-12-13 07:05:50.552000, 2024-12-13 07:06:08.266000, 2024-12-13 07:06:23.762000, 2024-12-13 07:06:39.395000"
enforce_invertibility,"False, True"
enforce_stationarity,"False, True"
freq_resample,"D, H"
hamilton_representation,False
hostname,DESKTOP-2G425B8
initial_level,None
initial_seasonal,None
initial_trend,None
initialization_method,estimated
