Campo,Valores Distintos
arima_order,"0, 1, 2, 5"
concentrate_scale,False
data_hora,"2024-08-11 17:32:48.683000, 2024-10-19 14:07:42.363000, 2024-12-12 13:25:03.749000, 2024-12-13 09:51:02.410000, 2024-12-13 09:55:05.327000, 2024-12-13 09:58:53.507000, 2024-12-13 10:02:48.605000, 2024-12-13 10:06:36.100000, 2024-12-13 10:10:30.531000, 2024-12-13 10:14:18.914000, 2024-12-13 10:18:13.130000, 2024-12-13 10:22:00.783000, 2024-12-13 10:27:00.710000, 2024-12-13 10:31:06.107000, 2024-12-13 10:36:06.020000, 2024-12-13 10:40:12.101000, 2024-12-13 10:45:12.347000, 2024-12-13 10:49:17.744000, 2024-12-13 10:54:17.492000, 2024-12-13 10:58:22.880000, 2024-12-13 11:01:46.254000, 2024-12-13 11:06:01.926000, 2024-12-13 11:09:25.215000, 2024-12-13 11:13:41.051000, 2024-12-13 11:17:04.010000, 2024-12-13 11:21:29.078000, 2024-12-13 11:24:58.905000"
enforce_invertibility,"False, True"
enforce_stationarity,"False, True"
freq_resample,"D, H"
hamilton_representation,False
hostname,DESKTOP-2G425B8
interpolacao,True
maxiter,"50, 100"
measurement_error,False
method,lbfgs
mle_regression,"False, True"
nome_modelagem,arima_sktime
out_of_sample_size,0
quantidade_dados_utilizados,"6519, 6573, 157735"
scoring,"mae, mse"
scoring_args,None
seasonal_order,0
simple_differencing,"False, True"
start_params,None
suppress_warnings,False
tempo_armazenamento_segundos,"0.091648, 0.226091, 0.266541, 2.135292, 2.159511, 2.180514, 2.201209, 2.204298, 2.218018, 2.328681, 2.350703, 2.361725, 2.365618, 2.366408, 2.398666, 2.405912, 2.434282, 2.447371, 2.460217, 2.464416, 2.575017, 2.66841, 2.695003, 2.697684, 2.780178, 2.924518, 2.959185"
tempo_modelagem_segundos,"6.285508, 7.169617, 16.507904, 198.801505, 199.048917, 199.228249, 205.202063, 223.368797, 223.3844, 223.474879, 224.130216, 230.152697, 230.27066, 230.922512, 238.260124, 240.930384, 241.238983, 241.24511, 241.621397, 251.464977, 251.478796, 260.500056, 264.580029, 295.029385, 295.463033, 295.524547, 296.000957"
time_varying_regression,False
tipo_modelagem,temporal
trend,"None, c, t"
with_intercept,"False, True"
