Campo,Valores Distintos
branching_factor,"10, 50, 100, 200"
compute_labels,True
data_hora,"2024-08-18 16:08:36.925000, 2024-08-21 20:10:20.078000, 2024-08-21 20:47:41.755000, 2024-08-21 23:47:24.242000, 2024-12-12 14:06:12.054000, 2024-12-12 21:30:21.021000, 2024-12-12 21:32:06.317000, 2024-12-12 21:33:25.253000, 2024-12-12 21:35:03.349000, 2024-12-12 21:36:06.074000, 2024-12-12 21:37:13.526000, 2024-12-12 21:38:12.422000, 2024-12-12 22:51:03.106000, 2024-12-12 22:51:14.963000, 2024-12-12 22:51:32.934000, 2024-12-12 23:15:24.194000, 2024-12-12 23:15:36.950000, 2024-12-12 23:15:54.398000, 2024-12-12 23:24:44.582000, 2024-12-12 23:25:26.648000, 2024-12-12 23:25:38.681000, 2024-12-12 23:25:55.863000, 2024-12-12 23:30:22.217000, 2024-12-12 23:30:34.648000, 2024-12-12 23:32:11.600000, 2024-12-12 23:32:23.893000, 2024-12-12 23:32:42.440000, 2024-12-12 23:34:27.355000, 2024-12-12 23:34:36.100000, 2024-12-12 23:34:46.685000, 2024-12-12 23:35:17.983000, 2024-12-12 23:35:25.086000, 2024-12-12 23:35:34.065000, 2024-12-12 23:35:50.197000, 2024-12-12 23:43:03.865000, 2024-12-12 23:43:17.124000, 2024-12-12 23:43:35.398000, 2024-12-12 23:45:12.179000, 2024-12-12 23:45:20.834000, 2024-12-12 23:45:31.621000, 2024-12-12 23:46:02.455000, 2024-12-12 23:46:09.539000, 2024-12-12 23:46:18.174000, 2024-12-12 23:46:33.709000, 2024-12-13 00:15:46.538000, 2024-12-13 00:19:53.299000, 2024-12-13 00:20:06.194000, 2024-12-13 00:20:23.726000, 2024-12-13 00:21:58.168000, 2024-12-13 00:22:06.476000, 2024-12-13 00:22:16.752000, 2024-12-13 00:22:46.916000, 2024-12-13 00:22:54.365000, 2024-12-13 00:23:02.849000, 2024-12-13 00:23:18.028000, 2024-12-13 00:23:29.733000, 2024-12-13 00:23:46.100000, 2024-12-13 00:25:15.475000, 2024-12-13 00:25:22.811000, 2024-12-13 00:25:33.192000, 2024-12-13 00:26:03.500000, 2024-12-13 00:26:10.641000, 2024-12-13 00:26:18.425000, 2024-12-13 00:26:31.180000, 2024-12-13 00:26:41.648000, 2024-12-13 00:26:57.893000, 2024-12-13 00:28:28.083000, 2024-12-13 00:28:35.337000, 2024-12-13 00:28:43.845000, 2024-12-13 00:29:09.087000, 2024-12-13 00:29:15.705000, 2024-12-13 00:29:23.081000"
n_clusters,"None, 5, 10, 100"
nome_fusao,birch_pca
pca_explained_variance_ratio,"9.700688882241667e-05, 0.0026667940224424135, 0.004936205640243796, 0.01014947910019212, 0.010149479100192121, 0.01014947910019214, 0.010149479100192142, 0.010149479100192146, 0.010149479100192147, 0.010149479100192151, 0.010149479100192154, 0.010149479100192158, 0.01014947910019216, 0.010149479100192167, 0.010149479100192173, 0.010149479100192175, 0.01014947910019218, 0.01014947910019219, 0.010149479100192193, 0.010149479100192203, 0.010149479100192217, 0.043584301206903646, 0.04358430120690369, 0.043584301206903715, 0.04358430120690373, 0.04358430120690375, 0.0435843012069038, 0.04358430120690382, 0.04358430120690383, 0.04358430120690384, 0.04358430120690386, 0.04358430120690389, 0.0435843012069039, 0.04358430120690392, 0.04358430120690393, 0.043584301206903944, 0.043584301206903965, 0.04358430120690401, 0.043584301206904014, 0.04358430120690402, 0.043584301206904034, 0.04358430120690405, 0.043584301206904076, 0.04358430120690409, 0.04358430120690412, 0.04358430120690418, 0.9413300140526534, 0.9413300140526537, 0.9413300140526546, 0.9413300140526548, 0.9413300140526557, 0.9413300140526559, 0.9413300140526563, 0.9413300140526568, 0.941330014052657, 0.9413300140526574, 0.9413300140526579, 0.9413300140526581, 0.9413300140526585, 0.9413300140526586, 0.9413300140526599, 0.9413300140526601, 0.9413300140526604, 0.9413300140526609, 0.9413300140526613, 0.9413300140526626, 0.9413300140526629, 0.9413300140526635, 0.9413300140526637, 0.9413300140526643, 0.9413300140526648, 0.9413300140526653, 0.9413300140526654, 0.9413300140526659, 0.9413300140526664, 0.9972361990887352"
pca_n_components,"2, 3, 4"
pca_singular_values,"542.6044924386467, 778.0520296734531, 778.0520296734533, 778.052029673454, 778.0520296734541, 778.0520296734542, 778.0520296734543, 778.0520296734544, 778.0520296734545, 778.0520296734546, 778.0520296734547, 778.052029673455, 778.0520296734552, 778.0520296734553, 778.0520296734554, 778.0520296734559, 778.052029673456, 778.0520296734564, 778.0520296734567, 1437.0053675576264, 1612.3220997708897, 1612.3220997708904, 1612.3220997708909, 1612.3220997708913, 1612.3220997708916, 1612.3220997708925, 1612.322099770893, 1612.3220997708931, 1612.3220997708934, 1612.3220997708936, 1612.322099770894, 1612.3220997708945, 1612.3220997708947, 1612.322099770895, 1612.3220997708952, 1612.3220997708956, 1612.322099770896, 1612.3220997708963, 1612.3220997708966, 1612.3220997708968, 1612.3220997708972, 1612.3220997708977, 1612.322099770898, 1612.3220997708984, 1612.3220997708995, 7493.0342255840405, 7493.034225584042, 7493.034225584045, 7493.034225584047, 7493.03422558405, 7493.034225584051, 7493.034225584052, 7493.034225584054, 7493.034225584055, 7493.034225584057, 7493.034225584059, 7493.03422558406, 7493.034225584061, 7493.0342255840615, 7493.034225584064, 7493.034225584067, 7493.034225584068, 7493.034225584069, 7493.034225584071, 7493.0342255840715, 7493.034225584078, 7493.034225584079, 7493.034225584081, 7493.0342255840815, 7493.034225584084, 7493.034225584086, 7493.034225584088, 7493.034225584089, 7493.034225584091, 7493.034225584092, 7534.454919082629, 145698.84855320017"
quantidade_dados_utilizados,"144989, 217578"
tempo_armazenamento_segundos,"1.752967, 1.764885, 1.766782, 1.78532, 1.797854, 1.82392, 1.851012, 1.858305, 1.900095, 1.902729, 1.903186, 1.906197, 1.920691, 1.92744, 1.933317, 1.936687, 1.950009, 1.95234, 1.954931, 1.964196, 1.966583, 1.96934, 1.970792, 1.978, 1.989938, 1.990247, 1.993204, 2.001139, 2.004352, 2.00827, 2.016854, 2.022211, 2.024613, 2.030657, 2.038502, 2.041733, 2.044877, 2.065202, 2.068486, 2.071207, 2.072392, 2.099358, 2.111459, 2.113947, 2.115434, 2.12029, 2.128235, 2.136182, 2.136774, 2.145095, 2.150567, 2.155663, 2.164218, 2.168629, 2.181747, 2.195098, 2.198079, 2.230508, 2.24224, 2.269982, 2.270361, 2.334277, 2.356279, 2.392973, 2.418184, 2.445669, 2.523623, 2.685297, 2.746768, 3.381882, 3.615625, 4.196087"
