Campo,Valores Distintos
data_hora,"2024-08-18 16:02:40.128000, 2024-08-21 20:13:46.073000, 2024-08-21 20:52:47.537000, 2024-08-21 23:46:50.929000, 2024-12-12 13:57:15.424000, 2024-12-12 21:38:59.893000, 2024-12-12 21:39:33.472000, 2024-12-12 21:40:07.403000, 2024-12-12 21:41:06.059000, 2024-12-12 21:42:53.935000, 2024-12-12 21:44:21.730000, 2024-12-12 21:45:07.562000, 2024-12-12 21:46:16.440000, 2024-12-12 23:54:06.552000, 2024-12-12 23:54:28.582000, 2024-12-12 23:54:53.088000, 2024-12-12 23:55:18.362000, 2024-12-12 23:55:30.439000, 2024-12-12 23:55:42.578000, 2024-12-12 23:55:55.107000, 2024-12-12 23:56:16.385000, 2024-12-12 23:56:40.376000, 2024-12-12 23:57:04.995000, 2024-12-12 23:57:27.442000, 2024-12-12 23:57:53.152000, 2024-12-12 23:58:19.916000, 2024-12-12 23:58:40.322000, 2024-12-12 23:59:03.585000, 2024-12-12 23:59:28.158000, 2024-12-12 23:59:39.965000, 2024-12-12 23:59:54.020000, 2024-12-13 00:00:06.463000, 2024-12-13 00:00:28.657000, 2024-12-13 00:00:53.067000, 2024-12-13 00:01:19.046000, 2024-12-13 00:01:41.874000, 2024-12-13 00:02:08.018000, 2024-12-13 00:02:34.430000, 2024-12-13 00:02:55.850000, 2024-12-13 00:03:19.457000, 2024-12-13 00:03:43.942000, 2024-12-13 00:03:56.125000, 2024-12-13 00:04:08.986000, 2024-12-13 00:04:21.732000, 2024-12-13 00:04:43.188000, 2024-12-13 00:05:07.378000, 2024-12-13 00:05:33.005000, 2024-12-13 00:05:55.650000, 2024-12-13 00:06:20.856000"
linkage_method,"average, complete, single, ward"
n_clusters,"5, 10, 20, 100"
nome_fusao,fastcluster_pca
pca_explained_variance_ratio,"9.700688882241667e-05, 0.0026667940224424135, 0.004936205640243796, 0.010149479100192094, 0.010149479100192128, 0.01014947910019213, 0.010149479100192134, 0.01014947910019216, 0.010149479100192167, 0.010149479100192173, 0.010149479100192175, 0.010149479100192184, 0.01014947910019219, 0.010149479100192198, 0.010149479100192203, 0.010149479100192208, 0.010149479100192217, 0.043584301206903646, 0.04358430120690373, 0.04358430120690384, 0.04358430120690386, 0.04358430120690387, 0.04358430120690389, 0.0435843012069039, 0.04358430120690393, 0.043584301206903944, 0.043584301206903965, 0.04358430120690399, 0.04358430120690401, 0.043584301206904014, 0.04358430120690402, 0.043584301206904034, 0.04358430120690404, 0.04358430120690405, 0.04358430120690409, 0.04358430120690412, 0.04358430120690414, 0.04358430120690416, 0.04358430120690426, 0.9413300140526513, 0.9413300140526543, 0.9413300140526568, 0.9413300140526574, 0.9413300140526576, 0.9413300140526581, 0.9413300140526585, 0.9413300140526586, 0.9413300140526587, 0.941330014052659, 0.9413300140526598, 0.9413300140526599, 0.9413300140526601, 0.9413300140526604, 0.9413300140526609, 0.9413300140526613, 0.9413300140526618, 0.941330014052662, 0.9413300140526624, 0.9413300140526625, 0.9413300140526626, 0.9413300140526635, 0.9972361990887352"
pca_n_components,"2, 3, 4"
pca_singular_values,"542.6044924386467, 778.0520296734521, 778.0520296734535, 778.0520296734536, 778.0520296734537, 778.0520296734547, 778.052029673455, 778.0520296734552, 778.0520296734553, 778.0520296734556, 778.0520296734559, 778.0520296734561, 778.0520296734563, 778.0520296734566, 778.0520296734567, 1437.0053675576264, 1612.3220997708897, 1612.3220997708913, 1612.3220997708934, 1612.3220997708936, 1612.3220997708938, 1612.322099770894, 1612.3220997708945, 1612.322099770895, 1612.3220997708952, 1612.3220997708956, 1612.322099770896, 1612.3220997708963, 1612.3220997708966, 1612.3220997708968, 1612.322099770897, 1612.3220997708972, 1612.322099770898, 1612.3220997708984, 1612.3220997708988, 1612.3220997708993, 1612.322099770901, 7493.034225584032, 7493.034225584044, 7493.034225584054, 7493.034225584056, 7493.034225584057, 7493.034225584058, 7493.03422558406, 7493.034225584061, 7493.0342255840615, 7493.034225584062, 7493.034225584063, 7493.034225584064, 7493.034225584066, 7493.034225584067, 7493.034225584068, 7493.034225584069, 7493.034225584071, 7493.0342255840715, 7493.034225584074, 7493.034225584075, 7493.034225584076, 7493.034225584077, 7493.034225584078, 7493.034225584081, 7534.454919082629, 145698.84855320017"
quantidade_dados_utilizados,"144989, 217578"
tempo_armazenamento_segundos,"1.707971, 1.738468, 1.814801, 1.826198, 1.845626, 1.846926, 1.848808, 1.852897, 1.919961, 1.929457, 1.931398, 1.935486, 1.952729, 1.965678, 1.992975, 2.012753, 2.031583, 2.03557, 2.041435, 2.051201, 2.06143, 2.066493, 2.105062, 2.121003, 2.126359, 2.130518, 2.130724, 2.131949, 2.144154, 2.148315, 2.155883, 2.174631, 2.176223, 2.185393, 2.208814, 2.220243, 2.227772, 2.238427, 2.261821, 2.278772, 2.290001, 2.355741, 2.541748, 2.550008, 2.69913, 2.845087, 2.963863, 3.57049, 3.974185"
tempo_fusao_segundos,"7.674928, 8.040429, 8.172597, 8.219196, 8.317864, 8.487677, 8.586727, 8.73993, 8.772896, 9.011029, 15.636928, 16.893819, 17.330846, 17.405068, 17.494633, 17.622134, 17.691749, 17.809291, 17.88005, 17.933079, 18.094265, 18.359193, 18.445054, 18.689111, 18.70353, 19.025607, 19.730826, 19.795613, 19.853856, 20.35547, 20.408229, 20.534482, 20.550975, 20.617476, 20.964028, 21.229623, 21.384852, 21.389623, 21.759859, 21.955933, 22.060379, 22.206577, 22.385968, 22.73835, 23.21994, 23.894507, 24.382254, 24.690582, 219.323454"
