Campo,Valores Distintos
data_hora,"2024-08-18 16:02:17.407000, 2024-08-18 23:04:49.395000, 2024-08-21 20:59:15.764000, 2024-08-21 23:46:21.927000, 2024-12-12 14:09:56.546000, 2024-12-12 21:51:18.130000, 2024-12-12 21:52:38.175000, 2024-12-13 00:06:47.056000, 2024-12-13 00:07:00.453000, 2024-12-13 00:07:11.415000, 2024-12-13 00:07:23.171000, 2024-12-13 00:07:31.911000, 2024-12-13 00:07:42.824000, 2024-12-13 00:07:54.713000, 2024-12-13 00:08:02.043000, 2024-12-13 00:08:10.918000, 2024-12-13 00:08:20.814000, 2024-12-13 00:08:27.764000, 2024-12-13 00:08:36.342000, 2024-12-13 00:08:45.792000, 2024-12-13 00:08:53.297000, 2024-12-13 00:09:02.779000, 2024-12-13 00:09:13.277000, 2024-12-13 00:09:20.406000, 2024-12-13 00:09:29.143000, 2024-12-13 00:09:38.747000, 2024-12-13 00:09:45.700000, 2024-12-13 00:09:54.261000, 2024-12-13 00:10:04.047000, 2024-12-13 00:10:10.866000, 2024-12-13 00:10:19.402000, 2024-12-13 00:10:29.153000, 2024-12-13 00:10:35.924000, 2024-12-13 00:10:44.535000"
min_cluster_size,"5, 10, 20"
min_samples,"None, 5, 10"
nome_fusao,hdbscan_pca
pca_explained_variance_ratio,"9.700688882241667e-05, 0.0026667940224424135, 0.004936205640243796, 0.01014947910019213, 0.010149479100192134, 0.01014947910019214, 0.01014947910019216, 0.010149479100192173, 0.010149479100192175, 0.010149479100192184, 0.01014947910019219, 0.010149479100192193, 0.010149479100192217, 0.04358430120690367, 0.04358430120690373, 0.0435843012069038, 0.04358430120690387, 0.0435843012069039, 0.04358430120690393, 0.043584301206903944, 0.043584301206903965, 0.04358430120690398, 0.04358430120690401, 0.043584301206904014, 0.04358430120690402, 0.043584301206904034, 0.04358430120690404, 0.04358430120690405, 0.9413300140526532, 0.9413300140526559, 0.941330014052657, 0.9413300140526581, 0.9413300140526585, 0.9413300140526586, 0.9413300140526587, 0.9413300140526596, 0.9413300140526598, 0.9413300140526599, 0.9413300140526613, 0.9413300140526614, 0.941330014052662, 0.9413300140526625, 0.9413300140526626, 0.9413300140526629, 0.9972361990887352"
pca_n_components,"2, 3, 4"
pca_singular_values,"542.6044924386467, 778.0520296734536, 778.0520296734537, 778.052029673454, 778.0520296734547, 778.0520296734552, 778.0520296734553, 778.0520296734556, 778.0520296734559, 778.052029673456, 778.0520296734567, 1437.0053675576264, 1612.3220997708902, 1612.3220997708913, 1612.3220997708925, 1612.3220997708938, 1612.3220997708945, 1612.322099770895, 1612.3220997708952, 1612.3220997708956, 1612.3220997708959, 1612.322099770896, 1612.3220997708963, 1612.3220997708966, 1612.3220997708968, 1612.322099770897, 1612.3220997708972, 7493.03422558404, 7493.0342255840515, 7493.034225584055, 7493.03422558406, 7493.034225584061, 7493.0342255840615, 7493.034225584062, 7493.034225584064, 7493.034225584065, 7493.034225584066, 7493.034225584067, 7493.0342255840715, 7493.034225584072, 7493.034225584075, 7493.034225584077, 7493.034225584078, 7493.034225584079, 7534.454919082629, 145698.84855320017"
quantidade_dados_utilizados,"144989, 217578"
tempo_armazenamento_segundos,"1.779076, 1.853433, 1.856899, 1.875485, 1.875896, 1.880359, 1.892383, 1.929087, 1.92978, 1.937666, 1.976628, 1.982879, 1.999776, 2.01702, 2.024309, 2.035631, 2.038883, 2.043754, 2.051193, 2.061167, 2.091945, 2.095255, 2.132796, 2.164481, 2.171065, 2.172286, 2.200777, 2.204717, 2.206229, 2.284742, 2.664976, 3.195739, 3.376146, 3.532825"
tempo_fusao_segundos,"3.020744, 3.063841, 3.114219, 3.229843, 3.31826, 3.528195, 3.768258, 4.814372, 4.898406, 4.952948, 4.962782, 4.986098, 5.17999, 5.250726, 5.850082, 5.974525, 6.038297, 6.086308, 6.10478, 6.200948, 6.305078, 6.386271, 6.935811, 7.142053, 7.145382, 7.34636, 8.247387, 8.301024, 9.546846, 9.618082, 9.778802, 9.921287, 12.703419, 12.844833"
tipo_fusao,hierarquica
