Campo,Valores Distintos
data_hora,"2024-08-18 16:02:07.017000, 2024-08-18 22:11:38.011000, 2024-08-18 22:12:15.522000, 2024-08-21 21:12:11.035000, 2024-08-21 23:46:10.733000, 2024-12-12 14:15:31.653000, 2024-12-13 00:10:54.489000, 2024-12-13 00:10:58.956000, 2024-12-13 00:11:03.083000, 2024-12-13 00:11:06.673000, 2024-12-13 00:11:10.371000, 2024-12-13 00:11:14.073000, 2024-12-13 00:11:17.622000, 2024-12-13 00:11:21.107000, 2024-12-13 00:11:25.011000"
n_clusters,"5, 10, 20"
nome_fusao,kmeans_pca
pca_explained_variance_ratio,"9.700688882241667e-05, 0.0026667940224424135, 0.004936205640243796, 0.010149479100192118, 0.010149479100192121, 0.010149479100192154, 0.010149479100192184, 0.010149479100192217, 0.043584301206903715, 0.043584301206903785, 0.04358430120690382, 0.04358430120690386, 0.04358430120690387, 0.04358430120690389, 0.043584301206903965, 0.04358430120690402, 0.9413300140526565, 0.941330014052657, 0.9413300140526574, 0.9413300140526585, 0.9413300140526587, 0.9413300140526599, 0.9413300140526615, 0.9413300140526629, 0.9972361990887352"
pca_n_components,"2, 3, 4"
pca_singular_values,"542.6044924386467, 778.052029673453, 778.0520296734533, 778.0520296734545, 778.0520296734556, 778.0520296734567, 1437.0053675576264, 1612.3220997708909, 1612.3220997708922, 1612.322099770893, 1612.3220997708936, 1612.3220997708938, 1612.322099770894, 1612.3220997708956, 1612.322099770896, 7493.034225584053, 7493.034225584055, 7493.034225584056, 7493.034225584061, 7493.034225584062, 7493.034225584064, 7493.034225584073, 7493.034225584079, 7534.454919082629, 145698.84855320017"
quantidade_dados_utilizados,"144989, 217578"
tempo_armazenamento_segundos,"1.686845, 1.800846, 1.834901, 1.846656, 1.86742, 1.883838, 1.945782, 1.954043, 2.137281, 2.161445, 2.603286, 2.819764, 2.986484, 3.123104, 3.364695"
tempo_fusao_segundos,"0.073047, 0.0748, 0.089286, 0.105718, 0.132792, 0.152975, 0.246744, 0.341285, 0.380619, 0.395343, 0.428699, 0.544177, 0.666694, 0.766544, 0.924272"
tipo_fusao,kmeans
