,count,mean,std,min,25%,50%,75%,max
fusao_temp_tslearn_tskmeans,2430.0,2.4952252271604936,0.8547659312428222,1.190479,1.71842625,2.3356505,3.10523275,4.914035
fusao_temp_prophet,5069.0,2.5056952057605053,0.9159867733629617,1.112273,1.714301,2.345718,3.104787,10.818353
fusao_temp_arima_es_sktime,48217.0,4.038358983055768,4.095182459598774,0.280329,0.700659,2.693075,6.449698,30.409394
fusao_hier_aglom_single_pca_minibatch,5832.0,2.9593563955761315,0.8174589471741524,1.735476,2.1415085,2.862612,3.59863575,6.950874
fusao_hier_kmeans_pca,4698.0,2.990399887186036,0.8099148626913555,1.743624,2.1628455,2.898025,3.68011275,5.72392
fusao_hier_fastcluster_pca,17496.0,2.9835641476337447,0.8129663921258465,1.732273,2.160266,2.910621,3.6539965,6.094736
fusao_hier_aglom_ward_pca_minibatch,6318.0,3.054523605729661,0.8401254222046275,1.758328,2.20895725,2.980468,3.7285512499999998,6.455972
fusao_hier_aglom_complete_pca_minibatch,5832.0,3.051938834019204,0.8420892643728574,1.773203,2.20228025,2.983583,3.73878975,5.520735
fusao_hier_aglom_average_pca_minibatch,5832.0,3.090285920438957,0.8711238094378342,1.738117,2.227604,3.0085905000000004,3.75347025,6.724102
fusao_hier_hdbscan_pca,13483.0,3.1936722182748647,0.9126215151145002,1.760126,2.2780769999999997,3.126101,3.90919,6.39764
fusao_hier_birch_pca,13122.0,3.4714692910379514,1.062901840658401,1.870038,2.429354,3.378044,4.2665425,8.59488
fusao_temp_arima_statsmodels,1458.0,6.865239290123458,3.2035890660256627,2.422304,4.34196275,5.995989,8.7545865,21.872191
fusao_temp_arima_sktime,11988.0,7.1630013397564225,3.4598158829649783,2.338064,4.38673575,6.2703835,9.049745,24.21453
fusao_temp_arima_es_statsmodels,1458.0,7.248927379286694,3.438296473695619,2.391521,4.403273,6.3354745,9.35376175,18.348735
fusao_temp_sarima_es_statsmodels,972.0,7.27930047633745,3.553430684767249,2.432097,4.345923,6.3714795,9.40113075,21.940453
fusao_temp_sarima_es_sktime,3402.0,7.320455967960024,3.557395147918308,2.441909,4.39884475,6.4179135,9.31447925,19.679689
fusao_temp_sarima_sktime,2916.0,7.379560836076818,3.6368514897139907,2.394379,4.54448325,6.462783,9.411015,21.223378
fusao_temp_sarima_statsmodels,2916.0,7.405667303840877,3.632150846555405,2.448655,4.5861315000000005,6.5202255000000005,9.441919500000001,20.536194
inmet,2321.0,4.01719193321844,1.044428189034886,1.794103,3.389723,3.971172,4.714736,9.62783
