Campo,Valores Distintos
callback,None
concentrate_scale,"False, True"
cov_kwds,None
cov_type,None
damped_trend,False
damping_trend,None
data_hora,"2024-08-11 17:22:16.326000, 2024-12-12 13:32:40.432000, 2024-12-19 20:51:35.056000, 2024-12-19 21:24:09.994000, 2024-12-19 21:55:57.573000, 2024-12-19 22:12:53.935000, 2024-12-19 22:29:29.212000, 2024-12-19 22:56:44.130000, 2024-12-19 23:35:31.185000, 2024-12-20 00:06:15.062000, 2024-12-20 00:37:25.890000, 2024-12-20 00:55:30.939000, 2024-12-20 01:12:22.669000, 2024-12-20 01:39:00.592000, 2024-12-20 02:04:39.376000"
dates,None
disp,False
enforce_invertibility,"False, True"
enforce_stationarity,"False, True"
freq,None
freq_resample,"D, H"
full_output,"0, 1"
hamilton_representation,False
hostname,DESKTOP-2G425B8
includes_fixed,False
initial_level,None
initial_seasonal,None
initial_trend,None
initialization_method,estimated
interpolacao,True
low_memory,"False, True"
maxiter,"50, 100"
measurement_error,"False, True"
method,None
minimize_kwargs,None
missing,none
mle_regression,True
nome_modelagem,sarima_es_sktime
optim_complex_step,None
optim_hessian,"None, True"
optim_score,None
optimized,True
quantidade_dados_utilizados,"6519, 6573, 157735"
random_state,None
remove_bias,False
return_params,False
sarima_order,1
seasonal,add
seasonal_order,"0, 1, 12, 24"
simple_differencing,False
smoothing_level,None
smoothing_seasonal,None
smoothing_trend,None
sp,24
start_params,None
tempo_armazenamento_segundos,"0.085893, 0.116662, 2.311368, 2.335551, 2.36918, 2.395782, 2.437414, 2.614799, 2.617627, 2.660153, 2.804022, 2.867293, 2.972194, 3.171571, 3.322076"
tempo_modelagem_segundos,"66.20406, 121.218542, 990.169767, 1006.339225, 1011.936421, 1079.758384, 1534.273267, 1593.773089, 1607.626436, 1630.681889, 1839.457898, 1866.025547, 1903.206478, 1950.089228, 10566.676524"
time_varying_regression,False
tipo_modelagem,temporal
transformed,"False, True"
trend,add
trend_offset,1
use_boxcox,None
use_brute,True
use_exact_diffuse,False
validate_specification,"False, True"
