,count,mean,std,min,25%,50%,75%,max
agglomerative_average_pca_minibatch,23.0,33.32371360869565,5.168996725867804,27.397463,31.112653,32.207428,34.7589675,52.044507
agglomerative_complete_pca_minibatch,25.0,30.731727920000004,3.207048260886973,25.528197,29.985701,30.520638,31.31012,41.531906
agglomerative_single_pca_minibatch,29.0,7.518891896551724,0.9805973818715357,6.227657,7.032536,7.167746,8.645085,9.94221
agglomerative_ward_pca_minibatch,31.0,33.913324838709684,5.2110923454019,27.630359,31.550731499999998,32.526405,33.5083855,47.698134
arima_es_sktime,100.0,178.40706437000006,165.33745442242744,13.082136,15.217154,164.04328349999997,335.604256,405.141898
arima_es_statsmodels,9.0,107.08874666666667,22.743054938964463,71.452407,106.577379,108.079422,125.758649,133.958461
arima_sktime,27.0,215.97354451851848,79.52134364192656,6.285508,214.28543000000002,230.922512,251.47188649999998,296.000957
arima_statsmodels,6.0,26.978195333333332,29.42474814921367,0.845641,1.5191485,18.879548,53.33685225,62.709466
birch_pca,72.0,21.390914694444447,27.54933497892273,3.152261,6.48577875,9.9011525,21.58944275,101.025747
fastcluster_pca,49.0,21.723887469387755,29.269158658686685,7.674928,17.330846,18.70353,21.384852,219.323454
hdbscan_pca,34.0,6.3695957941176475,2.5659734734141972,3.020744,4.9120415,6.0623024999999995,7.2961155,12.844833
kmeans_pca,15.0,0.3548663333333334,0.2708384157802969,0.073047,0.119255,0.341285,0.48643800000000004,0.924272
prophet_forecasting,11.0,227.8250053636364,12.370648691657294,220.203677,222.7052365,224.042886,227.14120200000002,264.204967
sarima_es_sktime,15.0,1917.8291170000002,2465.6807670482926,66.20406,1009.137823,1593.773089,1852.7417225,10566.676524
sarima_es_statsmodels,7.0,801.1238355714286,602.9605025897548,28.981797,317.92831,903.907606,1195.6370695,1647.846687
sarima_sktime,8.0,994.32036025,639.4359255562925,66.557288,647.9804087499999,1109.722527,1464.38800725,1656.55306
sarima_statsmodels,12.0,393.2493671666667,477.02583503145775,29.791852,50.11325375,177.442849,520.7251765,1434.135684
tslearn_timeserieskmeans,7.0,0.6719702857142857,0.9190208349447643,0.093749,0.299411,0.350413,0.4639995,2.732809
