CD_OSCAR,STATION_NAME,CD_STATION,TP_STATION,START_DATE_OPERATION,END_DATE_OPERATION,LONGITUDE,LATITUDE,HEIGHT,CD_SITUATION,CD_WSI,IS_CAPITAL,CD_DISTRICT,INSTITUTE,STATE
0-2000-0-86765,ABROLHOS,A422,Automatic,2008-07-21 00:00:00+00:00,,-38.70333333,-17.96305555,20.93,Down,0-76-0-2906907000000408,False, 04,INMET,BA
0-2000-0-81755,ACARAU,A360,Automatic,2009-04-22 00:00:00+00:00,,-40.08722221,-3.1211111,67.15,Operative,0-76-0-2300200000000446,False, 03,INMET,CE
0-2000-0-86827,AFONSO CLAUDIO,A657,Automatic,2011-09-24 00:00:00+00:00,,-41.10694444,-20.10416666,507.48,Operative,0-76-0-3200102000000478,False, 06,INMET,ES
0-2000-0-86686,AGUA BOA,A908,Automatic,2006-12-16 00:00:00+00:00,,-52.21166666,-14.01638888,440.0,Operative,0-76-0-5100201000000157,False, 09,INMET,MT
0-2000-0-86812,AGUA CLARA,A756,Automatic,2010-08-14 00:00:00+00:00,,-52.87583332,-20.44444444,323.63,Operative,0-76-0-5000203000000463,False, 07,INMET,MS
0-2000-0-86716,AGUAS EMENDADAS,A045,Automatic,2008-10-03 00:00:00+00:00,,-47.625801,-15.596491,1030.36,Operative,0-76-0-5300108000000435,False, 10,INMET,DF
0-2000-0-86722,AGUAS VERMELHAS,A549,Automatic,2007-09-09 00:00:00+00:00,,-41.45777777,-15.75166666,754.07,Operative,0-76-0-3101003000000252,False, 05,INMET,MG
0-2000-0-86803,AIMORES,A534,Automatic,2007-08-05 00:00:00+00:00,,-41.09083333,-19.53277777,301.0,Operative,0-76-0-3101102000000239,False, 05,INMET,MG
0-2000-0-86828,ALEGRE,A617,Automatic,2006-10-25 00:00:00+00:00,,-41.48888888,-20.75055555,138.0,Operative,0-76-0-3200201000000125,False, 06,INMET,ES
0-2000-0-86975,ALEGRETE,A826,Automatic,2006-09-28 00:00:00+00:00,,-55.52555554,-29.70916666,120.88,Operative,0-76-0-4300406000000113,False, 08,INMET,RS
