timestamp,temperature_C,humidity_percent,pressure_hPa,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2013-01-01 09:00:00,20.8,85,917.9,0.0,917.9,917.5,17.2,18.2,21.1,20.8,18.2,17.8,85,82,76,3.5,0.2
2013-01-01 10:00:00,22.0,79,918.3,0.0,918.3,917.9,189.0,18.2,22.0,20.8,18.5,18.1,86,79,50,2.6,0.6
2013-01-01 11:00:00,24.5,69,918.3,0.0,918.5,918.3,758.5,18.5,24.8,21.7,19.2,18.2,82,69,31,3.7,1.5
2013-01-01 12:00:00,25.3,73,918.6,0.0,918.6,918.3,1742.2,20.0,25.6,24.3,20.0,18.3,73,66,349,5.6,2.2
2013-01-01 13:00:00,25.9,66,918.2,0.0,918.7,918.2,2618.1,19.1,26.6,24.8,20.3,18.8,72,63,340,6.5,2.9
2013-01-01 14:00:00,27.0,65,918.0,0.0,918.3,918.0,3158.4,20.0,27.7,25.9,20.7,18.8,68,63,327,6.5,2.3
2013-01-01 15:00:00,28.3,62,917.6,0.0,918.0,917.6,3023.5,20.3,28.5,26.8,21.0,19.1,68,60,342,6.0,2.2
2013-01-01 16:00:00,28.9,57,917.4,0.0,917.7,917.3,3879.6,19.5,29.9,28.3,20.6,18.9,62,54,307,8.1,3.0
2013-01-01 17:00:00,27.8,62,916.5,0.0,917.4,916.5,1621.5,19.7,29.8,27.8,21.0,18.9,63,56,297,8.1,3.2
2013-01-01 18:00:00,28.9,59,916.2,0.0,916.6,916.1,1408.7,20.0,29.1,26.6,20.6,18.9,66,55,298,7.9,2.3
2013-01-01 19:00:00,28.7,62,915.6,0.0,916.2,915.6,1140.8,20.7,28.9,28.5,20.7,19.1,62,57,252,7.2,0.9
2013-01-01 20:00:00,27.8,60,915.5,0.0,915.7,915.3,598.2,19.4,28.7,27.8,20.6,19.4,63,59,274,5.2,1.8
2013-01-01 21:00:00,25.5,75,916.1,0.0,916.2,915.5,226.8,20.6,27.9,25.5,20.7,19.5,75,60,229,4.3,1.5
2013-01-01 22:00:00,24.3,77,916.5,0.0,916.5,916.1,81.5,20.0,25.5,24.3,20.8,19.9,77,74,225,4.0,0.7
2013-01-02 09:00:00,20.0,88,917.7,0.0,917.7,917.2,29.0,17.9,20.2,19.7,18.1,17.7,89,87,166,1.3,0.9
2013-01-02 10:00:00,21.2,83,918.4,0.0,918.4,917.6,421.5,18.3,21.5,20.0,18.8,18.0,89,83,153,3.3,1.3
2013-01-02 11:00:00,21.5,85,919.2,0.0,919.2,918.4,665.8,18.9,21.7,21.0,18.9,18.2,86,83,125,4.2,2.5
2013-01-02 12:00:00,22.1,81,919.8,0.0,919.8,919.2,764.2,18.8,22.2,21.4,19.1,18.7,85,81,179,4.6,2.2
2013-01-02 13:00:00,23.7,77,919.8,0.0,919.9,919.7,1361.0,19.4,23.7,22.1,19.8,18.8,82,76,167,5.3,2.8
2013-01-02 14:00:00,24.9,69,919.7,0.0,919.8,919.7,2174.9,18.9,25.5,23.5,20.7,18.9,78,69,145,5.1,2.1
2013-01-02 15:00:00,26.8,63,919.0,0.0,919.7,919.0,2539.6,19.2,27.0,24.8,20.0,18.5,71,61,137,5.5,2.7
2013-01-02 16:00:00,27.2,57,918.2,0.0,919.0,918.2,3600.5,17.8,28.3,26.7,19.9,17.8,64,55,136,5.7,2.6
2013-01-02 17:00:00,28.6,54,917.6,0.0,918.2,917.6,3333.1,18.3,29.3,27.2,19.5,17.6,59,52,129,5.3,2.2
2013-01-02 18:00:00,29.1,51,917.1,0.0,917.6,917.1,3077.8,17.9,30.0,28.4,20.1,17.8,57,50,170,5.6,1.6
2013-01-02 19:00:00,28.7,54,916.3,0.0,917.1,916.3,2622.6,18.5,29.8,28.6,19.3,17.9,55,50,140,6.9,3.8
2013-01-02 20:00:00,27.7,61,916.0,0.0,916.3,916.0,992.9,19.5,28.7,27.0,19.7,18.0,63,53,151,8.7,4.1
2013-01-02 21:00:00,23.0,75,917.2,0.0,917.2,916.0,752.1,18.4,27.7,23.0,19.6,18.0,75,60,348,8.8,2.2
2013-01-02 22:00:00,22.2,88,918.1,17.4,918.3,917.1,23.5,20.1,23.4,22.1,20.5,18.5,89,75,104,6.0,2.7
2013-01-03 01:00:00,19.5,84,919.9,0.0,919.9,918.8,0.9,16.7,20.6,19.5,17.9,16.7,85,82,127,8.6,3.6
2013-01-03 09:00:00,17.8,89,920.3,0.0,920.3,919.5,25.9,15.9,17.8,17.5,15.9,15.7,89,88,126,4.2,2.2
2013-01-03 10:00:00,19.4,85,920.8,0.0,920.8,920.3,448.0,16.7,19.4,17.8,16.7,15.9,89,85,111,5.6,2.9
2013-01-03 11:00:00,21.9,77,921.1,0.0,921.1,920.8,1203.8,17.7,21.9,19.2,18.0,16.4,85,77,150,6.7,2.1
2013-01-03 12:00:00,24.1,71,921.2,0.0,921.3,921.0,2246.8,18.5,24.1,21.5,18.6,17.0,77,70,124,5.3,2.9
2013-01-03 13:00:00,26.3,62,921.4,0.0,921.5,921.2,3226.0,18.3,26.5,23.6,19.4,17.6,71,62,94,6.0,3.3
2013-01-03 14:00:00,26.7,61,921.3,0.0,921.5,921.3,2690.3,18.7,27.3,25.7,19.4,17.5,64,58,81,6.0,3.3
2013-01-03 15:00:00,28.1,59,920.9,0.0,921.3,920.9,3357.5,19.2,28.1,26.6,19.5,18.2,63,56,74,5.9,2.7
2013-01-03 16:00:00,27.4,58,920.5,0.0,921.0,920.5,3730.9,18.4,28.6,27.0,19.8,18.1,62,56,119,7.9,2.5
2013-01-03 17:00:00,27.3,60,919.3,0.0,920.5,919.3,3614.9,18.9,29.3,27.0,20.2,18.0,61,54,134,5.4,2.5
2013-01-03 18:00:00,28.4,56,918.6,0.0,919.3,918.5,2734.8,18.9,29.0,27.3,20.1,18.5,62,55,141,6.5,3.2
2013-01-03 19:00:00,24.9,70,918.8,0.0,918.9,918.6,1264.5,19.1,28.4,24.8,19.6,18.7,71,56,138,11.0,5.2
2013-01-03 20:00:00,24.6,72,919.3,0.0,919.3,918.8,700.5,19.2,25.0,24.5,19.4,19.0,73,70,135,10.8,4.5
2013-01-03 21:00:00,21.7,75,921.0,0.0,921.0,919.3,359.4,17.0,24.6,21.7,19.4,17.0,75,70,9,10.7,3.8
2013-01-03 22:00:00,19.7,91,921.5,0.6,921.5,921.0,5.2,18.1,21.7,19.7,18.2,17.0,91,75,13,10.0,2.6
2013-01-04 09:00:00,19.7,84,921.3,0.0,921.3,920.5,10.2,16.9,19.7,19.5,17.0,16.9,85,84,129,4.2,2.3
2013-01-04 10:00:00,19.8,85,922.4,0.0,922.4,921.3,150.4,17.2,19.8,19.6,17.2,16.9,85,84,110,4.4,2.6
2013-01-04 11:00:00,21.4,80,922.7,0.0,922.7,922.3,486.0,17.7,21.4,19.8,17.8,17.2,85,80,102,5.0,2.8
2013-01-04 12:00:00,23.0,74,922.7,0.0,922.8,922.7,1094.1,18.2,23.0,21.3,18.6,17.6,81,74,76,7.2,4.0
2013-01-04 13:00:00,26.2,64,922.6,0.0,922.8,922.6,2362.1,18.8,26.2,23.0,19.1,18.1,75,63,72,9.1,5.1
2013-01-04 14:00:00,26.5,63,922.5,0.0,922.7,922.5,2794.8,18.8,27.2,25.5,19.5,18.0,65,60,69,9.1,4.0
2013-01-04 15:00:00,28.9,57,922.1,0.0,922.5,922.1,3186.3,19.4,28.9,26.5,19.9,18.2,63,55,68,8.4,3.1
2013-01-04 16:00:00,29.0,55,921.4,0.0,922.1,921.4,3666.7,19.0,29.3,27.9,19.6,17.3,58,50,24,7.1,2.0
2013-01-04 17:00:00,28.2,52,920.7,0.0,921.4,920.7,3099.0,17.5,29.1,28.2,18.9,17.2,56,50,32,6.3,2.4
2013-01-04 18:00:00,28.7,53,920.1,0.0,920.8,920.1,2715.4,18.1,29.9,28.3,19.8,17.4,56,51,334,5.7,2.3
2013-01-04 19:00:00,29.3,52,919.0,0.0,920.1,919.0,2268.9,18.4,29.5,28.2,19.7,17.6,57,51,19,4.8,1.4
2013-01-04 20:00:00,29.5,51,917.9,0.0,919.0,917.9,1933.9,18.4,29.5,28.7,19.2,17.0,55,48,327,4.7,1.5
2013-01-04 21:00:00,25.6,62,918.9,0.0,918.9,917.8,356.2,17.8,29.4,25.6,18.6,17.3,62,51,163,7.5,2.8
2013-01-04 22:00:00,19.7,91,920.6,3.0,920.6,918.9,25.5,18.2,26.1,19.6,18.8,17.1,91,60,113,11.7,5.7
2013-01-05 09:00:00,19.9,87,921.5,0.0,921.5,920.5,12.3,17.7,19.9,19.8,17.8,17.6,88,87,96,5.1,1.2
2013-01-05 10:00:00,20.9,82,922.1,0.0,922.1,921.4,239.4,17.6,21.0,19.9,17.9,17.6,88,82,52,3.1,1.0
2013-01-05 11:00:00,21.4,83,922.5,0.0,922.5,922.1,446.8,18.4,21.4,20.9,18.4,17.7,84,82,67,4.5,2.4
2013-01-05 12:00:00,23.8,77,922.4,0.0,922.6,922.3,1588.9,19.6,24.0,21.4,19.8,18.4,83,75,60,7.0,3.7
2013-01-05 13:00:00,26.4,66,921.9,0.0,922.4,921.9,3260.1,19.5,26.4,23.2,20.5,18.3,78,66,26,7.0,2.3
2013-01-05 14:00:00,26.7,58,921.2,0.0,921.9,921.2,3764.7,17.6,27.3,25.4,19.6,17.4,67,57,5,9.5,3.6
2013-01-05 15:00:00,27.5,52,920.9,0.0,921.2,920.9,3575.5,16.7,27.7,26.4,18.9,16.2,62,52,6,9.1,3.3
2013-01-05 16:00:00,28.2,45,920.3,0.0,920.9,920.3,3998.5,15.3,28.4,27.2,16.7,14.1,52,43,12,8.9,3.3
2013-01-05 17:00:00,28.6,44,919.8,0.0,920.3,919.7,3731.8,15.0,29.5,28.0,17.1,13.6,49,39,360,7.6,2.1
2013-01-05 18:00:00,29.2,47,918.8,0.0,919.8,918.8,3197.9,16.8,29.8,28.5,16.8,14.8,48,42,339,6.1,2.3
2013-01-05 19:00:00,29.2,47,918.2,0.0,918.8,918.2,2864.8,16.6,30.3,29.0,16.9,15.1,47,41,329,5.6,2.4
2013-01-05 20:00:00,29.0,46,917.8,0.0,918.3,917.7,1863.0,16.1,29.7,28.6,17.3,15.6,49,44,323,5.6,1.9
2013-01-05 21:00:00,27.4,55,918.0,0.0,918.0,917.7,915.5,17.7,29.5,27.4,18.0,16.4,57,46,320,5.4,2.0
2013-01-05 22:00:00,25.7,62,918.2,0.0,918.4,917.9,125.9,17.9,27.4,25.7,18.7,17.6,64,55,23,3.8,1.1
